pathway	pval	padj	log2err	ES	NES	size	leadingEdge
5991002_Cyclin_E_associated_events_during_G1_S_transition_	0.00516299781829747	0.0299556111041814	0.407017918923954	0.478274077184574	1.76192742782712	47	12575 12448 22390 17463 19645 26440 26444 19179 17420 228769 26445 57296 19170 67151 12447 26442 19177 66671 23996 26965 19192 22190 19172 23997 27401 19166
5991003_Cyclin_D_associated_events_in_G1	0.000225777080357673	0.00232114682613327	0.518848077743792	0.667547493167619	2.03870079781603	23	12571 13555 12580 12575 21781 242705 13557 12567 19645 12579 17420
5991004_G1_Phase	0.000225777080357673	0.00232114682613327	0.518848077743792	0.667547493167619	2.03870079781603	23	12571 13555 12580 12575 21781 242705 13557 12567 19645 12579 17420
5991005_Stabilization_of_p53	0.194888178913738	0.380681576144835	0.122679189568808	0.36092086249849	1.24654298188303	37	17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441 53380
5991006_p53-Dependent_G1_DNA_Damage_Response	0.100946372239748	0.255690624823828	0.175204047558551	0.386701827459039	1.36109226616915	39	12575 17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991007_p53-Dependent_G1_S_DNA_damage_checkpoint	0.100946372239748	0.255690624823828	0.175204047558551	0.386701827459039	1.36109226616915	39	12575 17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991008_G1_S_DNA_Damage_Checkpoints	0.0237267443496675	0.0978549860771045	0.352487857583619	0.432543613590472	1.54427416192322	42	12649 12575 17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 50883 26442 19177 23996 19192 22190 19172 23997
5991009_Cell_Cycle_Checkpoints	1.09747771371208e-10	4.28747960156852e-09	0.839088935621274	0.606523158074858	2.54876560559259	93	12442 107995 12649 56150 17219 12575 69263 17215 12534 22390 68240 269582 12236 72151 68612 23834 106344 56452 268697 66634 19891 17216 17218 17463 22628 22627 12544 26440 26444 19179 228769 26445 57296 19170 17246 17220 50793 18392 67151 70024 50883 12532 26442 19177
5991010_DNA_Damage_Telomere_Stress_Induced_Senescence	0.365811965811966	0.576252182703796	0.0875697115548511	0.364961697964464	1.08241148732817	20	14958 12575 17535
5991011_Cellular_Senescence	0.133333333333333	0.299216216906227	0.14551614609036	0.312912522239074	1.26898833742173	77	14958 12571 12580 12575 14056 22166 17164 68612 56371 17535 12567 26399 26417 494448 102626 12579 12608
5991012_Cellular_responses_to_stress	0.0279275196702135	0.110577881937467	0.352487857583619	0.313152039295268	1.41357967486465	151	112407 50527 14958 12571 12580 12575 15251 14056 68240 22166 17164 68612 18141 223921 14782 56371 17535 12567 19891 213539 21672 12359 26399 26417 69736 22627 23950 18453 269113 494448 13063 102626 12579 12608
5991013_p53-Independent_DNA_Damage_Response	0.0903328050713154	0.237376788214309	0.186432558434075	0.39790981720398	1.38972003744815	38	12649 17463 26440 26444 19179 228769 26445 57296 19170 67151 50883 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991014_p53-Independent_G1_S_DNA_damage_checkpoint	0.0903328050713154	0.237376788214309	0.186432558434075	0.39790981720398	1.38972003744815	38	12649 17463 26440 26444 19179 228769 26445 57296 19170 67151 50883 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991015_Ubiquitin_Mediated_Degradation_of_Phosphorylated_Cdc25A	0.0903328050713154	0.237376788214309	0.186432558434075	0.39790981720398	1.38972003744815	38	12649 17463 26440 26444 19179 228769 26445 57296 19170 67151 50883 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991016_Activation_of_ATR_in_response_to_replication_stress	1.02081940786777e-06	2.06275921727763e-05	0.643551836150722	0.693613225514781	2.33629266692904	34	12649 17219 69263 17215 68240 269582 72151 23834 106344 56452 66634 19891 17216 17218 12544 17220 50793 18392 70024 12532 19718
5991017_G2_M_Checkpoints	2.39775628685691e-08	6.69088182903879e-07	0.73376198835648	0.688130747626764	2.47780896704506	44	12442 12649 17219 69263 17215 12534 22390 68240 269582 72151 23834 106344 56452 268697 66634 19891 17216 17218 22628 22627 12544 17220 50793 18392 70024 50883 12532
5991018_Oxidative_Stress_Induced_Senescence	0.0868878357030016	0.236320815589108	0.190023305279108	0.393361276870313	1.39123266044329	40	12571 12580 14056 22166 17164 12567 26399 26417 494448 102626 12579 17246
5991021_Gluconeogenesis	2.1777649931892e-06	3.98803214377773e-05	0.627256739718528	0.74618818590814	2.30113442104134	24	11676 21991 18648 18563 18655 14433 11674 13358 14751 14718 433182 74551 14719 67863
5991022_Glucose_metabolism	1.49683595928454e-09	4.87303262300411e-08	0.788186810800237	0.690491914951155	2.54109095053005	49	11676 21991 18648 110095 18563 15277 18655 18746 56421 27357 72157 74185 14433 11674 18641 13358 14751 77559 14718 15275 433182 74551 14719 12315 67863 14387
5991023_Metabolism_of_carbohydrates	6.27918168099063e-09	1.93663182371606e-07	0.761460801445585	0.494476586501543	2.24969975091751	160	11676 21991 15366 58250 12505 20527 18648 15442 110095 18563 269941 15277 18655 14635 18746 20525 56421 27357 72157 74185 20322 14433 11674 66171 18141 223921 18641 20443 14733 110208 13358 56375 14751 20444 69736 77559 11881 269113 21881 20971 14718 15275 66646 50917 231727 433182 74551 14719 12315 70484 56398 67863 14387 54371 12091 53374
5991028_Phase_II_conjugation	0.0511182108626198	0.16427105668917	0.252961123069611	0.422283773498159	1.4584772699844	37	269378 14873 14866 211666 66054 66447 14872 12846 14854
5991029_Biological_oxidations	0.161434977578475	0.337860345932095	0.131457611642763	0.303884587306879	1.23140492328762	76	13121 269378 14873 14866 211666 66054 66447 11669 14872 228608 12846 14148 70101 14854
5991034_TP53_Regulates_Metabolic_Genes	0.0946166394779772	0.244252646405703	0.184706471207739	0.410131552427097	1.35568673842555	32	230784 22166 14782 21672 14751 22628 22627 12858 105787 13063 11651 110323 12867 54683
5991035_Transcriptional_Regulation_by_TP53	0.0946166394779772	0.244252646405703	0.184706471207739	0.410131552427097	1.35568673842555	32	230784 22166 14782 21672 14751 22628 22627 12858 105787 13063 11651 110323 12867 54683
5991036_Generic_Transcription_Pathway	0.00992239811322064	0.050467326537333	0.380730400722792	-0.313295856746286	-1.52922806625518	117	18124 66313 12914 18128 20482 19014 12455 20481 72949 22084 56717 17127 26896 21849 19082 17128 22026 15370 14815 64930 18519 83814 93836 17131 20683 353187 228839 54401 20463 70208 67381 19042 59024 103806 327987 140742
5991038_Glucose_transport	0.0885245901639344	0.236909965034965	0.191892240384838	0.445007648699135	1.42608674513465	27	20527 15277 20525 18141 223921 69736 269113 15275
5991039_Hexose_transport	0.0928689883913764	0.241872120877096	0.188204146308491	0.439617860285759	1.41018934519074	28	20527 15277 20525 18141 223921 69736 269113 15275
5991040_SLC-mediated_transmembrane_transport	0.204081632653061	0.392104382736701	0.181383128498408	-0.227050303865907	-1.14942402408857	142	20499 57738 100434 236794 98396 53881 243328 20516 22782 269966 108652 227059 13521 108989 71279 19386 20515 218210 54563 108052 66679 26569 14977 330836 68682 20535 171429 210148 227720
5991041_Transmembrane_transport_of_small_molecules	0.235042735042735	0.43598595321707	0.190023305279108	-0.199796280768549	-1.09571518498628	273	11931 20499 57738 100434 19299 12727 236794 14605 105722 11512 98396 53881 54667 27360 11928 243328 20516 320940 11513 22782 269966 108652 227059 21871 11933 13521 108989 71279 11980 19386 83814 20515 218210 76295 54563 108052 66679 26569
5991042_Glycolysis	2.20837895047957e-07	5.39212527075429e-06	0.690132458796796	0.770743977542755	2.35386452351453	23	11676 21991 18648 15277 18655 18746 56421 14433 11674 18641 14751 15275 433182
5991045_Pyruvate_metabolism_and_Citric_Acid_TCA_cycle	0.523809523809524	0.701814182026066	0.0684714904492088	0.307723209814358	0.970078639628037	26	12215 20501 16828 80879 66925 381511 67834 236900 235339 66052 228026
5991046_The_citric_acid_TCA_cycle_and_respiratory_electron_transport	0.143491124260355	0.313752980658836	0.139599673451922	0.304288551520332	1.24661713837893	82	12215 20501 16828 68198 110826 230075 66377 66694 80879 11950 12858 66925 13063 66346 67264 381511 22228 66916 66594 110323 66218 68202 12867 595136 67834 236900 72900 78330 12868 235339 66052
5991048_Metabolism_of_amino_acids_and_derivatives	0.011878784617726	0.0580080648832286	0.380730400722792	0.364221199877863	1.57888761973951	112	269378 12709 18263 27053 76238 66885 56454 66054 18408 22117 110695 12716 107272 107766 17463 109900 14645 67092 26440 228608 26444 14718 19179 228769 26445 57296 19170 14719 14085 67151 20810 26442 19177
5991052_Transmission_across_Chemical_Synapses	0.386018237082067	0.587549836182055	0.119887845115423	-0.226163788817411	-1.05075481042482	85	18751 12912 20112 20907 18750 11512 11513 100986 233977 54393 13383 109880
5991053_Neuronal_System	0.734426229508197	0.860747540983607	0.0850427463764322	-0.18042903579371	-0.880575399912269	114	18751 12912 20112 20907 18750 11512 11513 55991 16534 100986 233977 54393 13383 109880
5991064_Fatty_acid,_triacylglycerol,_and_ketone_body_metabolism	0.144409937888199	0.314588191830797	0.142901149386948	0.3323976388104	1.27265679213018	59	11363 68262 50790 28169 52123 216739 170439 13358 13350 433256 11409 73724 14104 30963 67512 231510 20467 54325 13177 15107 110821 14933 56348
5991065_Metabolism_of_lipids_and_lipoproteins	0.0159136477323256	0.0740110918344666	0.352487857583619	0.279334652668313	1.36884900880673	304	16592 110196 11363 13121 50784 13244 226856 20597 20775 68262 208715 14137 74114 50790 20778 17164 28169 66461 15357 52123 216739 235293 16987 27384 20788 66234 170439 14466 622402 77371 319554 66350 11886 13358 67103 15490 67260 68603 11605 13350 192156 56473 67469 11881 15926 18453 16332 433256 67420 20334 28042 14148 14667 67073 56075 231070 270669 67216 11409 64292 225845 73724 97287 14104 77219 30963 67512 11690 12850 12091 76893 234515 231510 20467 56794 104759 54325 15212 84095 13177 13595 236899 18806 23945 15107 76267 16835
5991067_Metabolism_of_water-soluble_vitamins_and_cofactors	0.0420560747663551	0.144121987211018	0.276500599254472	0.410107841731088	1.51080790112346	47	20527 18563 20525 116914 13361 59027 72621 54391 109754 14104 69698 268566 109129 73132 71743 66454 54219 110821
5991068_Metabolism_of_vitamins_and_cofactors	0.0420560747663551	0.144121987211018	0.276500599254472	0.410107841731088	1.51080790112346	47	20527 18563 20525 116914 13361 59027 72621 54391 109754 14104 69698 268566 109129 73132 71743 66454 54219 110821
5991077_Purine_metabolism	0.0102254412400896	0.0512146031341241	0.380730400722792	0.571035371603074	1.76098894895896	24	22436 18950 11565 15452 12359 67054 23959 11486 76952 11821 229363 13178
5991078_Metabolism_of_nucleotides	6.37623167667854e-08	1.62455294023201e-06	0.704975715167238	0.633763992265673	2.39772482171084	55	93692 22271 21877 20133 20135 22436 110074 18950 11565 18102 22166 80914 14782 15452 53893 12359 320685 67054 23959 11636 11486 76952 11821 22171 17766 229363 13178
5991079_Detoxification_of_Reactive_Oxygen_Species	0.000563197020216844	0.00485343314480986	0.477270815362862	0.723420334152538	1.99739452890259	15	50527 22166 14782 21672 12359 18453 13063 69590 20656 54683 67305 11927
5991082_Phase_1_-_Functionalization_of_compounds	0.862533692722372	0.922344423239617	0.0665892104103933	-0.189968347177211	-0.731577485173846	38	11522 68738 60525
5991086_Processing_of_Capped_Intron-Containing_Pre-mRNA	0.26625386996904	0.471373920851534	0.149207542435322	-0.236267763133798	-1.101436862506	89	53319 269061 94230 83486 81898 229279 67996 59013 20020 320632 15388 56335 192159 71713 68134 67500 69207 53379 15381 51796 54196 68598 433702 18521
5991087_mRNA_Splicing_-_Major_Pathway	0.336363636363636	0.547525252525253	0.129442887745046	-0.232602332447469	-1.07971144844421	84	269061 94230 83486 81898 229279 67996 59013 20020 320632 15388 192159 71713 68134 67500 69207 53379 15381 51796 54196 68598 433702 18521 67337 54451 20637 228410 19826 98758 19655 53317 57317 24061 74737 67710 68011 225027
5991088_mRNA_Splicing	0.336363636363636	0.547525252525253	0.129442887745046	-0.232602332447469	-1.07971144844421	84	269061 94230 83486 81898 229279 67996 59013 20020 320632 15388 192159 71713 68134 67500 69207 53379 15381 51796 54196 68598 433702 18521 67337 54451 20637 228410 19826 98758 19655 53317 57317 24061 74737 67710 68011 225027
5991089_mRNA_3'-end_processing	0.211734693877551	0.403253219042693	0.152144922367565	-0.341290912223513	-1.20382087780111	27	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 225027
5991090_Post-Elongation_Processing_of_Intron-Containing_pre-mRNA	0.211734693877551	0.403253219042693	0.152144922367565	-0.341290912223513	-1.20382087780111	27	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 225027
5991091_Post-Elongation_Processing_of_the_Transcript	0.783422459893048	0.881162306136903	0.0709609456938284	-0.204836424879068	-0.776145956921979	35	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 68011 225027 67332
5991092_Cleavage_of_Growing_Transcript_in_the_Termination_Region_	0.783422459893048	0.881162306136903	0.0709609456938284	-0.204836424879068	-0.776145956921979	35	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 68011 225027 67332
5991093_RNA_Polymerase_II_Transcription_Termination	0.783422459893048	0.881162306136903	0.0709609456938284	-0.204836424879068	-0.776145956921979	35	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 68011 225027 67332
5991094_RNA_Polymerase_II_Transcription	0.807807807807808	0.894849480860823	0.0753093764172773	-0.182892033039386	-0.836506286339913	79	269061 94230 12455 72949 67996 20020 13871 67655 71713 68134 69207 14884 20924 51796 228980 54196 433702 226182 67337 54451 24075 13872 72504 209361 24116 228410 19826 57317 74737 67710 68011 235459 225027
5991095_Transcription	0.825938566552901	0.906367041198502	0.0808589150280032	-0.171048088449812	-0.834902638845233	117	269061 94230 216151 12455 72949 67996 21341 72308 20020 21339 13871 18519 67655 71713 68134 69207 14884 227644 20924 51796 228980 54196 433702 226182 67337 71752 545725 66136 54451 24075 21429 13872 20841 72504 544971 209361 24116 228410 18986 19826 22130 57317 74737 67710 68011 235459 225027 75627
5991096_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit	0.983076923076923	0.99553693929269	0.0343431191135615	0.149880094403836	0.572160625875578	57	66235 22384 26905 100503670 19896 20042 20005 20115 13665 78655 67025 67204 20084 19942 13684 27979 19951 67891 19934 66483 13681 55944 19941 27176 270106 67115 110954 66475 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 68436 217869 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991097_Cap-dependent_Translation_Initiation	0.933641975308642	0.966632857828382	0.0369160593316849	0.175305960332395	0.675716301398387	62	13685 66235 22384 26905 100503670 209354 19896 20042 20005 20115 108067 13665 78655 67025 67204 20084 19942 13684 27979 19951 67891 19934 66483 13681 55944 19941 27176 270106 67115 110954 66475 18458 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 13667 68436 217869 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991098_Eukaryotic_Translation_Initiation	0.933641975308642	0.966632857828382	0.0369160593316849	0.175305960332395	0.675716301398387	62	13685 66235 22384 26905 100503670 209354 19896 20042 20005 20115 108067 13665 78655 67025 67204 20084 19942 13684 27979 19951 67891 19934 66483 13681 55944 19941 27176 270106 67115 110954 66475 18458 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 13667 68436 217869 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991099_Translation	0.961019490254873	0.984540946310062	0.0341946045318573	0.157028862366538	0.644199862368533	83	13685 14853 20014 107513 66235 20832 22384 66256 26905
5991100_Metabolism_of_proteins	0.783208020050125	0.881162306136903	0.0353910624222457	0.17649055169733	0.87653653664743	357	50527 13685 53618 12189 14537 17918 227613 67951 18550 18141 381903 223921 20443 64138 13666 14425 14853 69080 77371 56375 66449 20336 66411 20444 192156 20014 69736 19357 107513 226641 11881 13478 19128 269113 20334 66235 18701 12579 28185 20832 67422 22384 20448 231727 270669 67199 66256 56459 26905 12144 50935 12764 18700 108687 27392 208691 217664 105638 12091 192193 80294 14827 21854 108150 12317 20684 67713 100503670 269181 271786 67952 66661 22154 30057 68501 56495 102580 320438 29858 16006 67105 12873 21855 233744 331026 94181 276846 53421 53413 107371 170762 69608 19123 66624 66397 231042 109054 70361 209354 19896 242362 21454 226026 140474 67556 20042 20005 20115 68275
5991101_Ribosomal_scanning_and_start_codon_recognition	1	1	0.0562940749700968	-0.109774436090226	-0.405108913932433	30	13682 20068 13669 16341 75617 73830 66481 20054 27370 20044 27050 217869 54127 66085 20055 14109 66475 55944 13681 27979 13684 20084 67204 78655 13665 20115 20042 26905 22384 66235
5991102_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S	0.798013245033113	0.889041371842973	0.0473534245254193	0.231656813214331	0.759932545203479	31	13685 66235 22384 26905
5991103_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex	0.960413080895009	0.984540946310062	0.0406579344155557	0.180125260960334	0.558766060466455	25	66235 26905 20042 20115 13665 78655 67204 20084 27979 55944 66475 14109 20055 66085 54127 27050 20044 27370 20054 66481 73830 75617 16341
5991105_Formation_of_a_pool_of_free_40S_subunits	0.921011058451817	0.964391488302638	0.03863723737086	0.184550962240386	0.679169111044306	49	66235 100503670 19896 20042 20005 20115 78655 67025 20084 19942 27979 19951 67891 19934 66483 55944 19941 27176 270106 67115 110954 66475 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 68436 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991107_Pyrimidine_metabolism	0.0012509196189991	0.00951998567186325	0.45505986738723	0.687296156514851	1.92780812952868	16	22271 21877 110074 80914 320685 23959 22171 13178
5991112_RNA_Polymerase_I_Promoter_Clearance	0.718430034129693	0.854372361535824	0.0535669384770951	0.25870120980965	0.797796413693568	24	20018 14885 26417 75316 17420 69833 66671 20017 21340 209357
5991113_RNA_Polymerase_I_Transcription	0.782312925170068	0.881162306136903	0.0494904866135495	0.239079087922663	0.753682234484176	26	20018 14885 26417 75316 17420 69833 66671 20017 21340 209357
5991114_RNA_Polymerase_I,_RNA_Polymerase_III,_and_Mitochondrial_Transcription	0.906793048973144	0.959170986819968	0.0393561959521291	0.187198671439696	0.688912990357475	49	20018 67005 66596 14885 26417 75316 17420 69870 69833 74414 66671 20017
5991115_RNA_Polymerase_I_Transcription_Initiation	0.85121107266436	0.915786990623341	0.0464154956843849	0.22425238950954	0.684870410097477	23	20018 14885 75316 17420 69833 66671 20017 21340 209357
5991116_RNA_Polymerase_I_Promoter_Escape	0.737649063032368	0.861080380352525	0.0522693317499306	0.256133889476404	0.780018760372611	22	20018 14885 75316 17420 69833 66671 20017 21340 209357
5991121_Formation_of_incision_complex_in_GG-NER	0.321367521367521	0.538042964583249	0.0949751525905595	0.380865155321166	1.12957831340098	20	68240 19891 22590 14885 17420 13194 66671 19359 13870 209357 68275
