geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
Hist1h2bm,0.522194007,1.01E-07,,,
Shmt1,0.522139545,6.32E-08,,,
Cebpa,0.517530198,0.00697047,,,
Kif2c,0.516521871,5.52E-11,,,
Il1f6,0.515962199,8.23E-06,,,
Nsl1,0.515882623,4.65E-07,,,
Abcb1b,0.514811539,3.30E-15,,,
Hist1h2bc,0.513177377,7.84E-11,,,
Cks2,0.511461976,1.23E-06,,,
Plk1,0.51085464,6.75E-11,,,
P3h1,0.510379491,0.005592212,,,
Cep128,0.508355215,3.51E-05,,,
Hist1h4f,0.508231736,1.04E-14,,,
Chchd4,0.508089074,4.14E-11,,,
Ifrd2,0.50624756,1.84E-09,,,
Slc35f2,0.505704368,0.008169965,,,
RP24-112H7.1,0.504180773,0.004861992,,,
Dhrs1,0.503564193,9.51E-13,,,
Hirip3,0.502179003,2.82E-06,,,
Cad,0.502165736,9.05E-18,,,
Hist1h3e,0.49998519,7.23E-11,,,
Zwilch,0.49979647,6.18E-10,,,
Hist1h3f,0.499567542,3.22E-11,,,
Cdyl2,0.499263162,0.008696384,,,
Esco2,0.498726872,1.26E-06,,,
Hist4h4,0.497423254,1.54E-13,,,
Tacc3,0.497064347,5.56E-17,,,
Anln,0.495610369,5.41E-12,,,
Trp73,0.494864416,0.001210774,,,
Apln,0.494523711,0.010365294,,,
Arrdc4,0.494354168,5.12E-08,,,
Ccna2,0.494145771,3.57E-05,,,
Rrp1b,0.492711577,7.89E-11,,,
Cenpn,0.492479548,2.09E-05,,,
Zbed5,0.491916128,0.009327579,,,
Slc25a48,0.490744666,2.84E-09,,,
Itgb7,0.490059905,8.77E-06,,,
Esr1,0.489456051,0.010581709,,,
Diaph3,0.488174014,1.99E-11,,,
Krt19,0.487899979,0.000144155,,,
Rrp12,0.48753969,1.23E-14,,,
Hist1h2ab,0.485683369,0.001292979,,,
Aurkb,0.485095562,4.05E-09,,,
Dtwd1,0.485062541,7.78E-09,,,
Dut,0.485003268,8.42E-12,,,
Apcdd1,0.484923845,0.010425867,,,
Aunip,0.484722796,0.002346998,,,
Tmem74,0.483781146,0.010340217,,,
Sh3rf2,0.483494153,1.28E-05,,,
Uhrf1,0.482504952,2.74E-12,,,
Dctpp1,0.482298837,1.13E-06,,,
Hist1h4j,0.482162683,1.67E-08,,,
Ndc1,0.480424592,1.34E-10,,,
Krt8,0.480329401,2.66E-13,,,
Hist1h4i,0.478972524,4.28E-10,,,
Snord17,0.478275367,8.34E-05,,,
Tdp1,0.47818147,9.27E-05,,,
Muc15,0.478016629,0.014069343,,,
Recql4,0.477170555,5.41E-06,,,
Dlgap5,0.476823062,9.21E-11,,,
Gm22620,0.476379223,0.011795929,,,
Slc19a1,0.476138893,2.36E-06,,,
Htr5b,0.475089414,0.014719604,,,
Srm,0.474770766,4.08E-10,,,
Gm23130,0.474595159,0.004987077,,,
Prc1,0.474266766,2.69E-12,,,
Dgkh,0.472504005,2.14E-05,,,
Hist2h4,0.471772688,7.98E-08,,,
Kif11,0.471037472,2.62E-16,,,
Cmss1,0.470374597,0.000116955,,,
Tmem194,0.469931997,0.00010891,,,
Gm25395,0.469603228,0.002959237,,,
Aspm,0.469203308,3.01E-12,,,
Snora78,0.468882704,0.000185407,,,
Lrig1,0.468506035,2.24E-16,,,
Akip1,0.468153172,0.016097925,,,
Hist1h2ak,0.468032671,0.000580046,,,
Eme1,0.467869999,4.84E-05,,,
Fam72a,0.467829433,0.005994992,,,
Cbx6,0.467828459,3.56E-08,,,
Spc24,0.467288483,5.09E-09,,,
Pbk,0.467032963,6.82E-08,,,
Snord93,0.466456998,0.017147497,,,
Chtf18,0.465725521,1.37E-08,,,
Card14,0.465665089,0.008029279,,,
Cdca2,0.46427333,5.88E-08,,,
Espl1,0.464117122,1.79E-06,,,
Racgap1,0.463285607,1.56E-12,,,
Fanci,0.463125084,2.97E-07,,,
Rad54l,0.462861568,4.11E-05,,,
Hist1h2bl,0.461702028,0.00109181,,,
Hist1h4c,0.461257678,2.27E-10,,,
Pla2r1,0.461068692,0.000360351,,,
Tcof1,0.460987499,1.21E-08,,,
Mns1,0.460563844,0.007417182,,,
Mad2l1,0.46009432,3.87E-07,,,
Gm22422,0.459574477,0.008712529,,,
Timm8a1,0.459010159,0.008710177,,,
Lgals7,0.45884349,0.014864647,,,
RP23-461C4.3,0.4585796,0.001000502,,,
Cdk1,0.458322296,7.23E-11,,,
Hmmr,0.457352558,4.87E-12,,,
Wdr12,0.456260826,1.04E-13,,,
H2afx,0.45604946,9.30E-10,,,
Gm25835,0.454383796,0.004032598,,,
Atp13a4,0.454145421,0.01806882,,,
Ttk,0.453805288,9.81E-11,,,
Rabggta,0.453387348,1.34E-05,,,
Hist2h3b,0.453312366,0.000243884,,,
Tgfbr3,0.452891772,0.003241262,,,
Aif1l,0.45284105,0.00017277,,,
Mis18bp1,0.452739062,9.94E-06,,,
Gdpd2,0.451283769,0.018450377,,,
Hist1h1c,0.451274402,8.45E-12,,,
Snord22,0.450665159,0.000869801,,,
Ampd1,0.450165768,0.017342667,,,
Ccnf,0.449763558,5.37E-08,,,
Gm22068,0.44856128,0.018812349,,,
Pdss1,0.448503171,0.00011255,,,
Irs1,0.448412027,7.78E-06,,,
Itgb2,0.447900786,0.018173067,,,
Ppat,0.4472818,3.25E-11,,,
Pus7,0.446190854,5.27E-11,,,
Rpl7l1,0.445346029,1.98E-18,,,
Aurka,0.445180464,2.67E-12,,,
Ramp3,0.44517528,0.006154428,,,
Kif18b,0.443815192,5.39E-07,,,
RP23-110C17.2,0.442941713,0.014230698,,,
Mat2a,0.442215544,2.15E-16,,,
Gen1,0.441302374,2.32E-05,,,
Fancb,0.44097926,0.000821967,,,
Ung,0.440768489,2.38E-05,,,
Lsm3,0.43910431,3.37E-06,,,
Eri2,0.438121601,1.16E-05,,,
Hist1h2ai,0.437724336,0.013565387,,,
Rnu3a,0.437647879,0.024781824,,,
Lin28b,0.437500628,0.004129218,,,
Hist1h2bf,0.436613832,6.40E-06,,,
Nup37,0.436175577,8.61E-08,,,
Kif4,0.436136474,9.72E-12,,,
Kif20b,0.436018564,4.21E-13,,,
Stom,0.435338081,5.38E-12,,,
RP23-63D8.8,0.434994993,0.020208052,,,
Dhfr,0.434965054,3.90E-09,,,
Gart,0.434474938,1.82E-16,,,
Nup85,0.433270641,2.56E-12,,,
Snora21,0.432823153,0.029700031,,,
Hdac5,0.432741199,0.015572158,,,
Mfsd2a,0.432553867,0.000147817,,,
Kntc1,0.432472482,1.74E-10,,,
Gm24265,0.431959806,8.44E-06,,,
Xrcc2,0.431691059,7.23E-06,,,
RP24-160H16.10,0.431384835,0.009853941,,,
Exo1,0.431007856,5.17E-08,,,
Gm25813,0.430228981,0.031104092,,,
Mphosph9,0.430181732,5.77E-05,,,
Knstrn,0.429954104,3.66E-10,,,
Bora,0.429684438,2.38E-05,,,
Pim3,0.429053641,7.31E-06,,,
Gemin6,0.428424161,0.00028047,,,
Sgol1,0.427973654,6.33E-06,,,
Gm25360,0.427951614,0.009021037,,,
Suv39h1,0.427174871,9.55E-06,,,
Atf3,0.427162241,0.006266493,,,
Snora73b,0.427130126,0.015844717,,,
Cenpf,0.426584389,2.93E-11,,,
Siah1b,0.426580619,0.000138975,,,
Flot2,0.426495305,0.029437074,,,
Cenpi,0.426348164,1.10E-07,,,
Birc5,0.425714809,3.29E-08,,,
Rcc1,0.425628532,2.25E-07,,,
Kifc1,0.425568822,4.82E-05,,,
Cecr2,0.425327312,0.025923253,,,
Ankle1,0.423906664,0.001109604,,,
Spry1,0.423690879,0.034245936,,,
Pdzrn3,0.423676502,2.45E-10,,,
Nup133,0.423562102,7.26E-12,,,
Htra2,0.423314186,6.20E-06,,,
Fignl1,0.422603412,3.71E-09,,,
Plk4,0.422507626,1.49E-08,,,
Mthfd2,0.422163342,3.10E-07,,,
Cdca8,0.42215112,1.41E-07,,,
Ube2c,0.422086018,5.32E-09,,,
Pole,0.421588474,8.08E-09,,,
Fbxo5,0.421444375,2.15E-06,,,
Cenph,0.42135587,7.23E-05,,,
Nav3,0.421146076,2.10E-05,,,
Trmt61a,0.420167562,9.97E-05,,,
Nup107,0.419484818,3.52E-10,,,
Slc39a4,0.419433315,0.03153235,,,
Ovol2,0.41905999,0.025053033,,,
Glt1d1,0.418639048,0.000327158,,,
Vim,0.418096011,NA,,,
Dctd,0.417955657,1.31E-05,,,
Mcm7,0.417233541,5.05E-11,,,
Sema3e,0.417053281,8.34E-05,,,
Hist1h2ah,0.416782276,0.023970407,,,
Camk1d,0.416736528,0.038158967,,,
Nuf2,0.416650518,1.10E-07,,,
Gm24830,0.415550721,0.03883934,,,
Top2a,0.414485365,4.25E-11,,,
Nop16,0.414434997,4.15E-08,,,
Pold1,0.414014524,3.79E-07,,,
Rny1,0.413444407,1.13E-05,,,
Dis3,0.41328851,1.52E-09,,,
Kif18a,0.412904121,1.37E-05,,,
Tma16,0.412479374,0.000134287,,,
Mir17hg,0.412393594,0.001485921,,,
RP23-480B19.17,0.411283776,0.031965646,,,
Exosc8,0.411134883,2.88E-07,,,
Traip,0.411128281,2.73E-05,,,
Gsg2,0.410275869,6.87E-05,,,
Grwd1,0.410148271,2.76E-08,,,
Spag5,0.409732015,8.43E-07,,,
Smc4,0.409682542,1.66E-10,,,
RP23-79J21.2,0.40902355,0.031116465,,,
Ncapg2,0.408632253,9.22E-10,,,
Fam83d,0.40835068,7.35E-06,,,
Stfa3,0.408267266,0.039633125,,,
Rcl1,0.408254308,1.10E-10,,,
Nrp1,0.407826752,4.57E-15,,,
Plekhh1,0.4074827,0.000116955,,,
Lsm2,0.40646222,3.83E-06,,,
RP23-300H4.1,0.406089104,0.001286016,,,
Serpina3g,0.406010467,0.040753272,,,
Cinp,0.40589474,1.01E-07,,,
Kif14,0.405665243,2.32E-05,,,
Man1a,0.40519762,6.51E-06,,,
Txnip,0.405084844,3.82E-05,,,
Cenpe,0.404415864,5.62E-08,,,
Rbm19,0.404413584,8.46E-09,,,
Troap,0.403903239,0.003235667,,,
Cyp3a13,0.403726241,0.000717838,,,
Cdc25c,0.40353349,3.50E-05,,,
Mrto4,0.403140171,1.90E-07,,,
Twist1,0.402962626,0.04599223,,,
Ptpn13,0.402333447,2.08E-20,,,
Gsto1,0.401690217,1.44E-25,,,
RP23-81H23.3,0.401607107,0.032796021,,,
Pros1,0.40079998,0.047780371,,,
Miip,0.400683403,2.45E-05,,,
Serpinb10,0.400529667,8.07E-13,,,
Snora31,0.400317624,0.048000012,,,
Nop9,0.399736658,2.08E-08,,,
Timeless,0.39966043,2.03E-07,,,
Pi15,0.399492063,0.044858569,,,
Sorbs1,0.398994125,0.006550424,,,
Gsta1,0.398022808,0.029309704,,,
Ckap2l,0.397776881,1.14E-06,,,
Clec2g,0.397351534,0.045425548,,,
Dph2,0.396643926,0.000357548,,,
Ptprz1,0.396249145,0.04283178,,,
Pla2g4a,0.395419036,5.40E-07,,,
RP23-69P8.2,0.395240004,0.005209164,,,
Umps,0.394357086,3.50E-11,,,
Asf1b,0.393946417,0.000189235,,,
Kif15,0.393750882,0.000240615,,,
Nrm,0.392800166,0.005556793,,,
Rrp15,0.391738787,3.69E-08,,,
RP24-201C14.10,0.391199578,0.014516364,,,
Kifc5b,0.390917212,0.003045845,,,
Tnik,0.390315739,0.003601102,,,
Dnph1,0.390251409,0.001845356,,,
Fancd2,0.389453119,7.78E-06,,,
Cenpw,0.388977951,0.000409372,,,
Incenp,0.387240225,0.004434355,,,
Zfp59,0.386677869,0.027656447,,,
Ndc80,0.386392538,3.14E-05,,,
Cdca3,0.385316194,1.40E-08,,,
Brip1,0.385015663,3.36E-06,,,
Cyb5r1,0.38496207,1.52E-06,,,
Rpp40,0.384802845,0.001554398,,,
Mettl1,0.384631549,0.000143793,,,
Slc16a1,0.384351772,6.92E-09,,,
Ddx11,0.384139739,1.10E-06,,,
Lbr,0.384075253,1.61E-12,,,
Eppk1,0.383942735,1.21E-07,,,
Rtel1,0.38387706,4.22E-07,,,
Arhgap11a,0.383705974,1.28E-07,,,
Adk,0.383016784,2.60E-07,,,
Ppid,0.382923708,1.96E-09,,,
Shcbp1,0.382735349,4.41E-06,,,
Gpd2,0.382691678,1.15E-14,,,
Foxg1,0.382672776,0.017721191,,,
Tyms,0.382478808,9.70E-08,,,
St3gal6,0.381838055,0.012094749,,,
Fut10,0.381784844,0.062528958,,,
Hist2h2ab,0.381570185,0.023406742,,,
Ube2t,0.381301045,0.007747852,,,
Nolc1,0.380902506,8.16E-11,,,
Cit,0.379183312,9.04E-05,,,
Cenpq,0.379180416,0.001879013,,,
Endou,0.378901619,0.015770662,,,
3110082I17Rik,0.378719515,0.003624203,,,
Cks1b,0.377984108,2.31E-05,,,
Cdc45,0.377979003,6.51E-07,,,
Dbf4,0.37758975,8.80E-09,,,
Polr1b,0.377451282,3.16E-10,,,
Lmnb1,0.377380906,2.66E-10,,,
Padi1,0.377044752,0.057228273,,,
Slc5a6,0.37674036,0.004755698,,,
Vmn1r43,0.37672585,0.011919267,,,
Mlf1,0.376586191,0.064648552,,,
Casc5,0.376569799,2.64E-06,,,
Patz1,0.376240916,0.017992269,,,
Metrn,0.376169767,0.023276597,,,
Lig1,0.375494173,2.10E-06,,,
Tbl3,0.375042055,1.07E-07,,,
Ddx21,0.375002689,3.05E-15,,,
Nudt11,0.374962541,0.043980801,,,
Wnt3a,0.37474663,7.37E-06,,,
Cdt1,0.373600172,5.20E-07,,,
Gm26224,0.373276881,0.011228446,,,
Cenpm,0.373013315,0.011135719,,,
Tk1,0.372534349,5.96E-05,,,
Nle1,0.37248581,0.000559887,,,
Mdm1,0.372328882,0.006394167,,,
RP23-313J14.6,0.372138096,0.000761869,,,
Mir1949,0.37187963,0.006532188,,,
Fen1,0.371855356,1.31E-09,,,
Snord100,0.371504927,0.051254261,,,
Arhgap19,0.371309809,1.30E-06,,,
Mybl2,0.370882904,0.000120837,,,
Gpc6,0.37029768,0.063627172,,,
Hyls1,0.37010545,0.001419658,,,
Blm,0.36949868,0.000268683,,,
Ddx31,0.369375373,4.17E-08,,,
Haus4,0.369249357,0.00010368,,,
Pik3ip1,0.369124932,0.042403382,,,
Ppan,0.368651516,1.34E-07,,,
Gpsm2,0.368259174,6.14E-09,,,
Csta1,0.367784324,0.002806135,,,
Ttc27,0.367502559,5.57E-06,,,
Tfb2m,0.36688399,0.006872202,,,
RP23-139J18.1,0.366831623,0.000511008,,,
Wdr43,0.366830681,3.67E-10,,,
Zfp335os,0.366799831,0.071600361,,,
Gm10184,0.365995885,0.062803642,,,
Atic,0.365197116,3.02E-12,,,
Gtpbp10,0.365088925,0.000227255,,,
Zfp850,0.36490757,0.007351602,,,
Plk2,0.364676771,3.28E-13,,,
Gnl3,0.364335912,1.60E-08,,,
Nol8,0.364082219,1.36E-07,,,
Smyd5,0.36353718,1.12E-05,,,
Cdc42ep3,0.363369684,5.47E-05,,,
Grk6,0.362681404,4.95E-10,,,
Hk2,0.362169477,4.99E-09,,,
Ifitm3,0.361788461,1.22E-09,,,
Ruvbl2,0.361765048,3.18E-09,,,
Ckap2,0.361651943,2.96E-07,,,
Lncenc1,0.361482138,1.20E-15,,,
Prmt7,0.361335087,3.06E-07,,,
Nol9,0.36125982,1.80E-09,,,
Polq,0.361199099,0.000125883,,,
RP23-413D14.9,0.361176671,0.036325146,,,
Gar1,0.361078321,0.003107424,,,
Wdr46,0.361044567,2.10E-07,,,
Rad51,0.360645986,0.000371593,,,
Plekhg6,0.360539805,0.069883063,,,
Ccdc85c,0.360287218,7.43E-05,,,
Ncapd2,0.360161803,9.30E-06,,,
Klhl29,0.359781082,0.074274126,,,
G2e3,0.359474068,1.79E-05,,,
Dkc1,0.359468659,1.09E-06,,,
Foxm1,0.359416277,0.000118922,,,
RP23-15F7.3,0.358961253,0.081290465,,,
Wdhd1,0.358447842,8.13E-06,,,
Enoph1,0.357950685,1.68E-06,,,
Mgst1,0.357814977,0.055378843,,,
Wdr4,0.357581706,1.31E-05,,,
Fam64a,0.357433787,7.37E-05,,,
Snora68,0.357393341,0.025767551,,,
Arhgap40,0.357158949,0.067405069,,,
RP23-376B19.2,0.356902391,1.43E-05,,,
Rps6ka6,0.356878706,NA,,,
Gls2,0.355964585,0.013766269,,,
Otud4,0.355487628,1.18E-07,,,
Gm26316,0.355448851,0.070898839,,,
Gm24616,0.355298966,0.070102952,,,
Gm24044,0.354862165,0.04121838,,,
Dscc1,0.354859874,0.028013191,,,
Mcm2,0.354827934,1.08E-09,,,
Cdca7l,0.354673361,0.000459969,,,
Trub1,0.354590885,0.00011223,,,
Nsun5,0.353294928,0.001302218,,,
Snord43,0.353008445,0.059838269,,,
Cenpa,0.352251335,2.15E-05,,,
Rasl11a,0.352131127,0.081877086,,,
Hist1h3a,0.351825744,0.000400266,,,
Cenpp,0.351778246,0.042200516,,,
RP23-410L16.1,0.351503666,0.05678246,,,
Shmt2,0.35128836,9.44E-09,,,
Bub1,0.350854353,1.90E-06,,,
Crnde,0.349990867,0.087863301,,,
RP24-183E22.2,0.349969965,0.075073861,,,
Sapcd2,0.349094921,0.001357892,,,
L3mbtl2,0.348706382,3.96E-05,,,
Cep85,0.348597665,0.000800484,,,
Ccbl2,0.348555554,0.063672505,,,
Zfp184,0.348143386,0.078903203,,,
Ipmk,0.347764283,9.50E-06,,,
Ercc6l,0.347152076,3.28E-06,,,
Gtse1,0.346712131,7.16E-06,,,
Ms4a10,0.346395291,0.082311431,,,
Rrp8,0.346257261,2.75E-06,,,
Gm24451,0.346146203,0.098788515,,,
Wdr73,0.344992352,0.000272213,,,
Wdr3,0.344599386,8.99E-08,,,
Rad18,0.344063585,0.000341617,,,
Slc2a9,0.343757877,0.042178946,,,
Cdca5,0.343274006,0.000370098,,,
Epgn,0.342711246,3.34E-08,,,
Snora26,0.342425698,0.084052171,,,
Cep89,0.342186691,0.001636781,,,
Cep55,0.341637276,1.47E-05,,,
Csrp2,0.341474859,0.033875126,,,
Ska3,0.341435594,0.003547979,,,
Prkg2,0.341318669,2.52E-06,,,
Polr1a,0.34076979,1.83E-09,,,
Snora24,0.340503713,0.081335105,,,
RP24-276H6.1,0.340420484,0.068200939,,,
Zbtb10,0.340420457,0.042401021,,,
Hnrnpdl,0.340356614,9.20E-10,,,
RP23-247H23.2,0.340347412,NA,,,
Hilpda,0.340204009,0.019668756,,,
Rfc4,0.34009948,0.000102704,,,
Eya2,0.339529381,0.105392135,,,
Spp1,0.339135584,0.107303434,,,
Itpr1,0.339064954,0.002494959,,,
Melk,0.338902898,6.71E-05,,,
Zc3h8,0.338705988,0.00718673,,,
Sox2,0.338648759,0.000123735,,,
Nusap1,0.338415996,7.61E-08,,,
Slc30a4,0.338400231,3.94E-08,,,
Spdl1,0.338340479,7.71E-05,,,
Rrm1,0.338260335,8.13E-12,,,
Npm3,0.338165114,6.83E-08,,,
Efna2,0.337297917,0.101083674,,,
Cdc7,0.337084447,0.000850272,,,
Sacs,0.336869238,0.000921553,,,
Gsdmd,0.336618648,0.068255053,,,
Fpgs,0.33650483,6.65E-05,,,
Cenpo,0.336228725,0.008530094,,,
Mboat1,0.33618362,1.74E-06,,,
Wdr77,0.335930048,2.25E-05,,,
Cep152,0.33586817,9.81E-05,,,
Cpt1c,0.33585175,NA,,,
Afp,0.335757231,0.107947248,,,
Serpinb2,0.335457553,0.00026315,,,
Tmem109,0.335404725,3.42E-05,,,
Pdcd2,0.335282737,0.002423653,,,
Nek7,0.334949504,5.16E-07,,,
Rmi2,0.334474212,0.037481506,,,
Plk3,0.334403419,0.000113087,,,
Mtcl1,0.334356069,1.61E-06,,,
RP23-9L16.5,0.33385995,7.32E-06,,,
Nop56,0.333788457,1.23E-08,,,
Wee1,0.333732603,0.000721815,,,
Vars,0.333704534,3.29E-08,,,
Heatr1,0.333494627,5.32E-09,,,
Drp2,0.333474699,0.104965656,,,
Mcm10,0.333361041,8.09E-06,,,
Xrcc6,0.333292133,2.14E-05,,,
Katnal2,0.333158526,0.115301823,,,
Snora75,0.332817047,0.109102606,,,
Hjurp,0.332718614,1.63E-08,,,
Parpbp,0.332424528,0.001235873,,,
Prmt1,0.332288835,3.93E-06,,,
D030056L22Rik,0.332171765,0.000930269,,,
Pwp2,0.331679942,4.86E-08,,,
Rpp14,0.33167441,6.11E-05,,,
Suv39h2,0.331508978,0.00314947,,,
Npm1,0.331302137,2.02E-08,,,
Sephs2,0.331192403,3.54E-07,,,
Slfn9,0.330774858,0.000261255,,,
Utp15,0.330699805,1.26E-06,,,
Gm22489,0.33049393,0.058566784,,,
Hmga1,0.330332056,0.059724887,,,
Timm9,0.329978488,0.004833295,,,
Abcg2,0.329726713,0.090080741,,,
Fam110c,0.329577263,0.000531885,,,
Plekho2,0.329186018,0.000309092,,,
Apobr,0.329098123,0.02093099,,,
Dnmt3b,0.328816253,0.050866204,,,
Snora33,0.328697407,0.061698907,,,
Hist1h4n,0.328272312,0.120323308,,,
Sgsm1,0.328244341,0.11452634,,,
Med12l,0.328075087,0.070492271,,,
Mcm6,0.327912329,1.70E-12,,,
Snora23,0.327493175,0.100043619,,,
Usp1,0.327478379,6.63E-05,,,
Hnrnpd,0.327443988,3.10E-05,,,
Dpy19l1,0.32742721,9.56E-07,,,
Slc29a1,0.327350377,0.118460302,,,
Ddias,0.326722379,9.64E-06,,,
Anp32e,0.32645772,0.000150742,,,
Pecr,0.32633265,0.025315968,,,
Sgol2a,0.326190288,1.79E-05,,,
Gins3,0.326051292,0.009087732,,,
Rnf220,0.326033393,0.000130641,,,
Cdkn3,0.325681838,0.008389717,,,
Pmf1,0.325643536,0.001915231,,,
Akr1c13,0.325379665,0.122312408,,,
Pcnt,0.325316575,2.00E-08,,,
Mdc1,0.325271637,0.007072278,,,
Qtrt1,0.324923148,0.00252941,,,
Ttll4,0.324682053,2.86E-07,,,
Chka,0.324496534,2.96E-07,,,
Zfp472,0.32383271,0.029621733,,,
Hspd1,0.323472503,1.75E-10,,,
RP23-326E2.4,0.323212856,0.104156519,,,
Cbx3,0.322745922,0.001630948,,,
Snhg5,0.322723372,1.53E-06,,,
Lrig3,0.322465568,0.08333023,,,
Rrs1,0.3216548,6.74E-06,,,
Snora41,0.32144499,0.127550967,,,
Dnmt1,0.320970635,7.27E-08,,,
Gm25939,0.320780535,0.086896241,,,
Far1,0.320647022,1.92E-05,,,
Ddx18,0.320450708,3.43E-06,,,
Foxc1,0.320371323,0.000995141,,,
Rad51ap2,0.320058253,0.12465584,,,
Nrp2,0.319949123,4.80E-06,,,
Dram1,0.319669434,0.000954609,,,
Rfc3,0.319626069,0.00022467,,,
Mdn1,0.319579784,3.31E-07,,,
Nop14,0.319530008,8.52E-07,,,
Arhgef39,0.319461988,0.021863098,,,
Noa1,0.319084338,0.000281084,,,
Eya1,0.319056557,NA,,,
Nup43,0.318898201,9.96E-06,,,
Fjx1,0.318782859,2.94E-05,,,
Rbmxl1,0.318738871,0.001302218,,,
Sssca1,0.318632736,0.000182016,,,
Dusp6,0.318630727,0.001270102,,,
Taf1d,0.318458626,4.14E-05,,,
Dtl,0.318346423,4.75E-06,,,
