Gene,logFC,FDR
Itfg2,-0.099635808,0.84342
Itfg3,0.258321526,0.358792
Itga1,-1.428278212,0.000670633
Itga10,-0.374161827,0.547293
Itga11,-2.175063185,0.00680343
Itga2,-0.58058818,0.110655
Itga2b,-0.973307992,0.126387
Itga3,-0.425343372,0.0732081
Itga4,-0.683981396,0.0277404
Itga5,0.110829665,0.743202
Itga6,0.295699146,0.25197
Itga7,0.376124032,0.361166
Itga8,-1.685619503,0.000670633
Itga9,-0.647677131,0.0119901
Itgad,0.959365517,0.0469351
Itgae,-0.137999776,0.825909
Itgal,-0.741671715,0.453356
Itgam,1.680228259,0.000670633
Itgav,1.118287016,0.000670633
Itgax,0.993054153,0.000670633
Itgb1,0.012581142,0.975981
Itgb1bp1,0.277126578,0.713366
Itgb1bp2,-3.847603989,0.00124178
Itgb1bp3,-1.472968926,1
Itgb2,0.515886106,0.0372605
Itgb2l,0.334217354,1
Itgb3,0.576834579,0.0384331
Itgb3bp,-0.453645923,0.497066
Itgb4,3.043303165,0.000670633
Itgb5,0.163136976,0.562573
Itgb6,-0.253319611,0.412137
Itgb7,-1.242520305,0.00175914
Itgb8,1.938086125,0.00124178
Itgbl1,-1.08238717,0.120094
Itih1,0.49251219,0.415651
Itih2,4.361953454,0.000670633
Itih3,0.575360046,0.379914
Itih4,0.976168871,0.000670633
Itih5,-1.76141585,0.00124178
Itk,-1.768340539,0.00225688
Itln1,2.504101335,0.000670633
Itm2a,-0.431961082,0.312694
Itm2b,0.127406287,0.662314
Itm2c,0.07519283,0.834929
Itpa,0.388917445,0.382367
Itpk1,0.448754709,0.164437
Itpka,-0.971640339,0.111287
Itpkb,-1.136212443,0.000670633
Itpkc,1.230851331,0.0198989
Itpr1,-0.184722478,0.73172
Itpr2,-0.615964257,0.0303864
Itpr3,0.647365191,0.0027341
Itprip,0.055983061,0.949748
Itpripl1,-0.308344988,0.412095
Itpripl2,-0.497027381,0.0363463
Itsn,-1.045760159,0.673747
Itsn1,-0.393496163,0.486805
Itsn2,0.04227917,0.931438
Ivd,-0.569989119,0.0869761
Ivl,2.880281369,0.000670633
Ivns1abp,0.130835142,0.657224
Iws1,0.011782272,0.978685
Iyd,1.100303281,0.0427469
Izumo1,-1.179524008,0.639792
Izumo2,0,1
Izumo3,0,1
Izumo4,-0.790933529,0.137405
J00476,1.32872796,1
JSAP2,0.45741729,1
Jag1,0.329217843,0.226199
Jag2,0.476707346,0.0768859
Jagn1,0.482066839,0.233149
Jak1,-0.125332486,0.729324
Jak2,0.268564897,0.30701
Jak3,0.452224,0.228391
Jakmip1,-0.096369357,0.930257
Jakmip2,-0.303993448,1
Jakmip3,-0.410202954,1
Jam2,-0.375013185,0.371643
Jam3,-0.658928763,0.187599
Jarid1a,-0.238747899,1
Jarid2,0.512297361,0.0756911
Jazf1,-0.48496741,0.399254
Jbp1,0.962942548,0.854715
Jdp2,0.774870414,0.00861079
Jhdm1d,0.03894011,0.928136
Jkamp,-0.167634997,0.731257
Jmjd1c,-0.04578138,0.939758
Jmjd4,0.188675659,0.653809
Jmjd5,0.137553093,0.885952
Jmjd6,-0.173766969,0.752079
Jmjd7,-0.420341732,0.623763
Jmjd8,-0.135679358,0.807558
Jmy,-0.175262055,0.640786
Jmy-pending,0.56963076,0.837794
Jnk2,-0.084058245,0.969822
Josd1,0.32888804,0.298469
Josd2,-0.245782856,0.595818
Jph1,-0.746956435,0.306372
Jph2,-1.624976139,0.00225688
Jph3,-0.972462967,1
Jph4,-0.690037924,1
Jrk,0.195664926,0.743708
Jrkl,0.164985431,0.694973
Jsap1,0.113453208,1
Jsrp1,1.543042448,1
Jtb,0.300945699,0.364233
Jub,0.623497141,0.0237498
Jun,-0.552837499,0.0384331
Junb,1.179407029,0.000670633
Jund,0.18469852,0.519033
Jup,0.218173797,0.388301
KCNMB2,2.373054628,0.675901
KCNQ1b,-0.740837179,0.804785
KIAA0143,-0.439986917,0.941085
KIAA0150,-1.752903155,0.508929
KIAA1199 homolog,0.961821162,1
KIAA1440,0.192349087,0.936483
KIAA1447,-0.985082714,0.453173
KIAA312,0.211677714,0.794192
KIF1B,-0.275509595,1
KNT,-0.923320851,1
KRAZ1,1.178295376,0.419318
Kalrn,-0.203586491,0.614853
Kank1,0.743917251,0.00861079
Kank2,-0.942197237,0.000670633
Kank3,-0.959705439,0.00965017
Kank4,-2.821249596,0.000670633
Kap,0,1
Kars,0.178303792,0.577302
Kat2a,0.150466724,0.688442
Kat2b,-0.187865494,0.509664
Kat5,-0.203062631,0.557537
Katna1,0.305074846,0.394256
Katnal1,-0.908241083,0.0345974
Katnal2,-1.015530858,0.220431
Katnb1,-0.103739929,0.915313
Kazald1,-0.772454171,0.206823
Kbp,0.086307945,0.972476
Kbtbd10,-2.118486985,0.0116745
Kbtbd11,0.121435535,0.71323
Kbtbd12,0.600466897,0.537361
Kbtbd13,-1.453036953,1
Kbtbd2,-0.178229077,0.552848
Kbtbd3,-0.52679957,0.363497
Kbtbd4,0.187592793,0.645717
Kbtbd5,-1.245611233,1
Kbtbd7,-0.195967396,0.618502
Kbtbd8,0.207242303,0.744721
Kcc1,0.582268083,0.857883
Kcc4,0.160020459,0.962381
Kcmf1,0.302051018,0.369235
Kcna1,-0.916933362,1
Kcna10,0,1
Kcna2,-2.670263534,0.00447825
Kcna3,-1.871444037,0.430938
Kcna4,0.069208933,1
Kcna5,-0.784435667,1
Kcna6,-2.188849949,1
Kcna7,0.309462584,1
Kcnab1,2.01760722,0.0116745
Kcnab2,0.008779233,0.986792
Kcnab3,-0.405071296,0.668914
Kcnb1,-2.278924593,0.0027341
Kcnb2,0.144610458,1
Kcnc1,-1.51942065,1
Kcnc2,0.745531221,1
Kcnc3,-0.594976265,0.0789768
Kcnc4,-1.149029582,1
Kcnd1,0.373946668,1
Kcnd2,-2.09108616,1
Kcnd3,-2.312337529,0.00175914
Kcne1,0.27497247,1
Kcne1l,-0.390308319,1
Kcne2,0.443496415,0.199121
Kcne3,1.981308269,0.000670633
Kcne4,-0.43453413,0.504801
Kcnf1,-0.289461225,1
Kcng1,-1.818778459,1
Kcng2,-1.695618169,1
Kcng3,1.027951209,1
Kcng4,0.215564937,1
Kcnh1,0.869523671,0.0113417
Kcnh2,-1.652679871,0.00175914
Kcnh3,-1.37253204,0.371392
Kcnh4,-1.884270438,0.0232131
Kcnh5,0,1
Kcnh6,-0.856065253,1
Kcnh7,0.082671267,1
Kcnh8,-0.529837679,1
Kcnip1,0.094445561,1
Kcnip2,-1.177075658,0.19233
Kcnip3,-1.246406281,0.100801
Kcnip4,-0.147010429,0.928183
Kcnj1,-0.900322726,1
Kcnj10,0.445974736,0.418334
Kcnj11,0.156470765,0.886607
Kcnj12,-1.717511126,0.0142138
Kcnj13,-0.657642487,0.555789
Kcnj14,-1.237419964,1
Kcnj15,0.871190373,0.000670633
Kcnj16,0.45681948,1
Kcnj2,0.633596716,0.0221347
Kcnj3,-3.627562069,0.507348
Kcnj4,-0.214377255,1
Kcnj5,-3.504750184,0.00404852
Kcnj6,-0.117532415,1
Kcnj8,-0.335699615,0.537108
Kcnj9,0.870778642,1
Kcnk1,1.374360303,0.000670633
Kcnk10,0.192826902,1
Kcnk12,-1.570362426,0.0306295
Kcnk13,0.554381788,0.31015
Kcnk15,-0.462047082,1
Kcnk16,0,1
Kcnk18,-0.150965134,1
Kcnk2,-1.45202044,0.00363394
Kcnk3,-1.300653384,0.00124178
Kcnk4,2.76182054,0.166641
Kcnk5,-0.303399066,0.510193
Kcnk6,0.29106894,0.370279
Kcnk7,2.095785648,0.000670633
Kcnk9,0,1
Kcnma1,-0.796014756,1
Kcnmb1,-0.382762199,0.760261
Kcnmb2,-1.275219808,0.142525
Kcnmb3,0,1
Kcnmb4,-2.066638036,0.0126372
Kcnn1,-0.422828274,0.558311
Kcnn2,-1.847051453,0.0816266
Kcnn3,-0.319541753,0.401781
Kcnn4,1.437486355,0.000670633
Kcnq1,-0.056158778,0.916288
Kcnq1ot1,0.073100243,1
Kcnq2,0,1
Kcnq3,-0.184513711,1
Kcnq4,-1.629823034,0.0250894
Kcnq5,-1.650823698,0.0599704
Kcnrg,-0.844812925,0.3971
Kcns1,2.760712683,1
Kcns2,0.023171732,1
Kcns3,-1.77768974,0.000670633
Kcnt1,1.133697702,1
Kcnt2,-0.668386026,1
Kcnu1,2.831760793,0.00124178
Kcnv1,2.193140919,1
Kcnv2,-0.752735062,1
Kcp,-0.565481103,0.422723
Kctd1,1.775167562,0.000670633
Kctd10,-0.37966523,0.128234
Kctd11,0.476887627,0.125518
Kctd12,0.016305778,0.969018
Kctd12b,-0.064701851,0.879861
Kctd13,-0.300114416,0.548694
Kctd14,1.985921504,0.000670633
Kctd15,0.315443479,0.387148
Kctd16,-0.485374271,1
Kctd17,0.097583818,0.863064
Kctd18,-0.160234475,0.70541
Kctd19,-0.544651096,1
Kctd2,-0.542021732,0.13096
Kctd20,-0.151396455,0.649444
Kctd21,-0.352615576,0.379474
Kctd3,0.619294185,0.51858
Kctd4,3.931077868,0.331122
Kctd5,0.423317568,0.196863
Kctd6,-0.269586524,0.532689
Kctd7,-0.722422896,0.142525
Kctd8,-1.460785487,0.0763581
Kctd9,0.192476427,0.563516
Kdelc1,-0.162315932,0.700846
Kdelc2,-0.802297919,0.0103281
Kdelr1,0.282862092,0.32783
Kdelr2,0.358554861,0.193411
Kdelr3,0.807389523,0.7158
Kdm1a,0.144271013,0.658824
Kdm1b,0.017805808,0.973984
Kdm2a,0.250093899,0.308152
Kdm2b,0.195275772,0.628859
Kdm3a,0.01906135,0.965324
Kdm3b,0.034416732,0.951616
Kdm4a,-0.234040369,0.401407
Kdm4b,-0.216851734,0.511087
Kdm4c,-0.453384487,0.149619
Kdm4d,-0.003808072,1
Kdm5a,0.025830366,0.956346
Kdm5b,0.616645028,0.0129579
Kdm5c,0.563245318,0.0132832
Kdm5d,-0.10609167,0.9328
Kdm6a,0.051162057,0.930592
Kdm6b,-0.277225269,0.321825
Kdr,-1.568091808,0.000670633
Kdsr,-0.179920938,0.556875
Keap1,0.110024628,0.760103
Keg1,-0.116027867,1
Kel,-0.198171002,1
Kera,0,1
Khdc1a,0.092045407,1
Khdc1b,0.201939931,1
Khdc1c,0.481763521,1
Khdrbs1,0.016419727,0.97162
Khdrbs2,0,1
Khdrbs3,0.668345803,0.0628791
Khk,-0.619181909,0.203498
Khnyn,0.373832099,0.314494
Khsrp,0.194506355,0.496468
Kiaa0028,-0.03145725,1
Kiaa0146,0.436501933,0.79187
Kiaa0196,0.496689854,0.930016
Kiaa0528,-0.512389333,1
Kiaa0575,-0.44826666,1
Kiaa0753,-0.214030802,0.888662
Kiaa0892,0.022103006,0.985486
Kiaa0907,0.590656153,1
Kiaa0913,-0.174476047,0.919739
Kiaa1109,-0.238893224,1
Kiaa1152,1.63036277,0.330115
Kiaa1310,-1.117586649,0.205865
Kiaa1328,-0.059646237,0.98711
Kiaa1432,-0.475824222,1
Kiaa1456,-0.116779909,1
Kiaa1737,-1.713124986,0.283777
Kiaa1797,-1.16189413,1
Kiaa1841,-2.4684582,1
Kiaa1984,-0.829945772,1
Kidins220,-0.213534716,0.426366
Kif11,2.208136072,0.000670633
Kif12,2.704108373,1
Kif13a,-0.731441576,0.00526709
Kif13b,-0.168505293,0.651252
Kif14,2.155602459,0.000670633
Kif15,1.951926555,0.000670633
Kif16b,-0.026953127,0.952809
Kif17,-0.475460745,1
Kif18a,0.693181065,0.181085
Kif18b,2.922337426,0.000670633
Kif19a,0.005859807,0.992937
Kif1a,0.956257487,0.000670633
Kif1b,-0.401750989,0.107448
Kif1c,0.001657443,0.996425
Kif20a,2.106610053,0.0119901
Kif20b,1.552141317,0.000670633
Kif21a,1.309620613,0.000670633
Kif21b,-0.392965737,0.193779
Kif22,2.297708498,0.000670633
Kif23,1.671358488,0.000670633
Kif24,0.126076874,0.902894
Kif26a,-1.752490058,0.000670633
Kif26b,-0.642147489,0.195975
Kif27,-1.432622797,0.0253674
Kif2a,-0.09989981,0.804163
Kif2b,0,1
Kif2c,2.963312792,0.000670633
Kif3a,0.100601672,0.934583
Kif3b,0.014762112,0.972632
Kif3c,-1.016925709,0.00999745
Kif4,2.291563568,0.000670633
Kif4b,0,1
Kif5a,-0.528639581,0.433133
Kif5b,0.179166189,0.497793
Kif5c,0.811378953,0.16059
Kif6,-1.270896946,0.133719
Kif7,-1.513391435,0.21503
Kif9,-0.902943992,0.0848984
Kifap3,-0.628829244,0.0678128
Kifc1,0.932406852,0.86854
Kifc2,-0.612307054,0.395273
Kifc3,-0.653867632,0.341997
Kifc5b,1.442020567,0.00826246
Kin,0.09503362,0.857345
Kir3dl1,0,1
Kir3dl2,0,1
Kirrel,-0.590433307,0.0746636
Kirrel2,0,1
Kirrel3,0.696804057,0.284089
Kis2,0,1
Kiss1,1.606776232,0.317194
Kiss1r,-0.504329166,0.427117
Kit,-0.723464112,0.0132832
Kitl,-0.894663409,0.00175914
Kitlg,0.005134774,1
Kl,-1.890585743,0.0119901
Klb,-0.186140329,1
Klc1,-0.341986904,0.249816
Klc2,-0.044114254,0.932048
Klc3,1.295306664,0.00363394
Klc4,0.396582682,0.244078
Klf1,0.447858626,1
Klf10,0.198249957,0.51129
Klf11,-1.25481107,0.000670633
Klf12,-1.670906392,0.00566202
Klf13,-0.170040132,0.536049
Klf14,-0.113294567,1
Klf15,-1.31221586,0.000670633
Klf16,0.017784758,0.975689
Klf17,-0.141708532,1
Klf2,-0.976690942,0.00225688
Klf3,0.144072834,0.652222
Klf4,-0.32142714,0.244652
Klf5,1.779048856,0.000670633
Klf6,-0.152613904,0.584665
Klf7,-1.281206842,0.0170059
Klf8,-1.147741212,0.0679849
Klf9,-0.726762101,0.00895825
Klhdc1,-0.892830861,0.0906193
Klhdc10,0.097395178,0.772693
Klhdc2,-0.61427382,0.728992
Klhdc3,-0.111838405,0.764759
Klhdc4,-0.646860666,0.0947199
Klhdc5,-0.15453635,0.665887
Klhdc7a,0.196752508,0.567985
Klhdc7b,-0.641871524,1
Klhdc8a,1.751051266,0.000670633
Klhdc8b,-0.772249671,0.0975276
Klhdc9,-0.355449338,0.648176
Klhl1,0,1
Klhl10,-0.657622215,1
Klhl11,-0.317913531,0.601406
Klhl12,0.065562677,0.905056
Klhl13,-0.2663261,0.510031
Klhl14,-2.509479371,0.0170059
Klhl15,0.405342712,0.584715
Klhl17,-0.5219474,0.177618
Klhl18,0.041327303,0.931673
Klhl2,0.074785512,0.853283
Klhl20,-0.294089615,0.363847
Klhl21,0.127802246,0.708685
Klhl22,-0.138446684,0.717047
Klhl23,-0.487937935,0.22027
Klhl24,-0.346330864,0.170701
Klhl25,-0.156047977,0.727381
Klhl26,-0.06225122,0.89218
Klhl28,0.140376311,0.835021
Klhl29,-0.429717741,0.304547
Klhl3,-0.438050581,0.556284
Klhl30,-1.241279711,0.0768859
Klhl31,-2.086738614,1
Klhl32,0.041998119,0.962716
Klhl33,-0.517547128,0.501694
Klhl34,-0.9512823,1
Klhl35,-0.081635716,1
Klhl36,-0.120470001,0.842877
Klhl38,-1.412682538,0.05875
Klhl4,-0.806271454,0.288601
Klhl5,-1.008087949,0.000670633
Klhl6,-0.251599072,0.515691
Klhl7,-0.378042036,0.271329
Klhl8,-0.622731567,0.177724
Klhl9,0.149926688,0.600158
Klk1,-0.403070946,0.671429
Klk10,8.071567415,0.501173
Klk11,4.548882314,0.000670633
Klk12,8.393638364,0.511876
Klk13,3.256483703,0.000670633
Klk14,4.166747609,0.000670633
Klk15,0.631102419,1
Klk1b1,0,1
Klk1b11,1.055651441,1
Klk1b16,0,1
Klk1b21,0.355371614,1
Klk1b22,0,1
Klk1b24,-1.276132735,1
Klk1b26,0.539738503,1
Klk1b27,-1.809056046,1
Klk1b3,0.050689461,1
Klk1b4,0.06730753,1
Klk1b5,-1.367205453,1
Klk1b7-ps,0,1
Klk1b8,-3.10108862,1
Klk1b9,0,1
Klk4,0,1
Klk5,0.375053893,1
Klk6,3.706884138,0.132923
Klk7,4.717439956,0.165067
Klk8,1.631639821,0.14356
Klk9,5.154571179,0.325561
Klkb1,-0.453572545,1
Klph,-0.837082614,1
Klra1,0,1
Klra10,-0.732921595,1
Klra12,0,1
Klra14,-2.261699295,1
Klra15,-0.552346355,1
Klra16,-1.288799029,0.693643
Klra17,1.598480653,0.0209672
Klra18,2.820556537,0.0253674
Klra19,-0.431647562,1
Klra2,-0.805608362,0.141961
Klra21,-1.127351681,1
Klra22,0,1
Klra23,-3.777188234,0.319782
Klra3,-0.768199117,1
Klra4,2.607853414,0.497219
Klra5,-0.685882787,1
Klra6,0,1
Klra7,-2.858618529,0.0237498
Klra8,-3.964795989,0.00680343
Klra9,0.189373792,0.956346
Klraq1,-0.155772082,0.724768
Klrb1a,0.333118166,0.724376
Klrb1b,-1.450128842,0.118244
Klrb1c,-1.632347202,0.0896884
Klrb1f,-2.535332766,0.436493
Klrb6,0,1
Klrc1,-1.526019956,0.157149
Klrc2,-1.078332286,0.512401
Klrc3,-1.820498771,0.463731
Klrd1,-2.53624673,0.00566202
Klre1,-2.589096,0.00644257
Klrg1,-1.169215999,0.142071
Klrg2,0.731669576,0.178619
Klri1,-1.093684543,0.3073
Klri2,-2.421168179,0.0158203
Klrk1,-2.539265466,0.00124178
Kmo,-1.48938442,0.407896
Kncn,-0.61103616,1
Kndc1,-1.277033021,0.0113417
Kng1,3.67823929,0.00225688
Kng2,4.796127248,0.000670633
Knl2,0.526450474,1
Kntc1,1.986920133,0.000670633
Kox-1,-0.567565978,1
Kpc1,-0.426426989,0.817238
Kpna1,0.089955306,0.800529
Kpna2,0.994772216,0.00526709
Kpna3,0.47803073,0.0754744
Kpna4,0.190226825,0.487884
Kpna6,0.008820199,0.982548
Kpna7,-0.291039312,1
Kpnb1,0.224009253,0.368226
Kprp,5.737470449,0.000670633
Kptn,-0.183989617,0.712187
Kras,-1.083186756,0.0123146
Krba1,-0.464962278,0.219761
Krc,0.124831736,0.905641
Krcc1,0.24930799,0.500938
Kremen1,0.600659662,0.0173104
Kremen2,0.480498268,1
Kri1,-0.138946968,0.793342
Krit1,-0.238672392,0.538319
Krr1,-0.019520166,0.971711
Krt1,1.144282355,1
Krt10,0.310996103,0.648134
Krt12,0.150936291,1
Krt13,8.042125276,0.000670633
Krt14,7.408885213,0.000670633
Krt15,5.911305147,0.000670633
Krt16,8.762947363,0.40717
Krt17,8.760749598,0.0321105
Krt18,0.921595496,0.000670633
Krt19,0.5909897,0.0259131
Krt2,0,1
Krt20,7.101420779,0.0301194
Krt222,-1.898200525,0.0599704
Krt23,2.181155787,0.000670633
Krt24,0,1
Krt25,-0.1101224,1
Krt26,0,1
Krt27,0.298726343,1
Krt28,-1.098689044,1
Krt31,0.532127414,1
Krt32,0.273861976,1
Krt33a,0.682008693,1
Krt33b,0.290459793,1
Krt34,-0.215891025,1
Krt35,0,1
Krt36,1.749755429,1
Krt39,0.576858768,1
Krt4,9.061833141,0.479122
Krt40,0.755182423,1
Krt42,2.303482682,1
Krt5,8.57177777,0.00124178
Krt6a,8.591118744,0.000670633
Krt6b,9.618417882,0.326481
Krt7,0.427103494,0.0799946
Krt71,0,1
Krt72-ps,0,1
Krt73,0.21090874,1
Krt74,0,1
Krt75,1.197318145,1
Krt76,1.914276185,1
Krt77,-0.270299289,1
Krt78,4.35803051,0.000670633
Krt79,-3.141727912,0.000670633
Krt8,0.50774354,0.0583459
Krt80,-0.293521436,0.347398
Krt81,1.06668786,1
Krt82,0,1
Krt83,3.674564685,0.000670633
Krt84,3.71633248,0.334346
Krt86,2.443873996,0.431735
Krt9,0.072008438,1
Krtap1-3,0.543118704,1
Krtap1-4,0.41389732,1
Krtap1-5,7.180585506,0.000670633
Krtap10-10,0,1
Krtap10-4,0,1
Krtap11-1,0,1
Krtap12-1,0,1
Krtap13,0,1
Krtap13-1,0,1
Krtap14,0,1
Krtap15,0,1
Krtap16-1,0,1
Krtap16-10,0,1
Krtap16-4,0,1
Krtap16-5,0,1
Krtap16-7,0,1
Krtap16-8,0,1
Krtap16-9,0,1
Krtap17-1,-2.169612727,0.0535327
Krtap20-2,0,1
Krtap22-2,0,1
Krtap24-1,-0.29678629,1
Krtap26-1,0,1
Krtap27-1,0,1
Krtap3-1,3.354380222,1
Krtap3-2,7.399335659,0.397028
Krtap3-3,6.453787524,0.000670633
Krtap31-1,0,1
Krtap31-2,2.688061715,1
Krtap4-1,-0.006612227,1
Krtap4-13,0,1
Krtap4-16,2.997577847,1
Krtap4-2,0.847091732,1
Krtap4-6,0,1
Krtap4-7,0,1
Krtap4-8,0,1
Krtap4-9,0,1
Krtap5-1,0.704802041,1
Krtap5-2,0,1
Krtap5-3,0,1
Krtap5-4,0.467213736,1
Krtap5-5,-1.03139104,0.296717
Krtap6-1,0,1
Krtap6-2,0,1
Krtap7-1,0,1
Krtap8-1,0,1
Krtap8-2,0,1
Krtap9-1,0,1
Krtap9-3,1.411415398,1
Krtap9-5,1.036411899,1
Krtcap2,0.224023568,0.586933
Krtcap3,0.799637516,0.0485713
Krtdap,10.49789174,0.000670633
Ksr1,-0.612406624,0.131831
Ksr2,2.738694548,0.00175914
Ktelc1,-0.835622021,0.395487
Kti12,0.265565846,0.689853
Ktn1,-0.057412203,0.904663
Ky,-1.296686022,0.062258
Kynu,1.57234492,0.000670633
L1cam,0.718473843,0.0288211
L1td1,-1.898827536,0.0303864
L2hgdh,-0.391388933,0.397028
L3mbtl,0.688115296,1
L3mbtl2,-0.328830503,0.378441
L3mbtl3,-0.300147484,0.450672
L3mbtl4,-1.245252252,1
LDLB,-0.35387903,0.851011
LE51,0.84912434,0.757493
LOC100009614,0,1
LOC100034739,-0.46000513,1
LOC100036568,-2.425392513,1
LOC100038947,0.077486192,0.912507
LOC100039574,0,1
LOC100039614,0,1
LOC100039753,0,1
LOC100039810,0,1
LOC100040022,0,1
LOC100040031,0,1
LOC100040160,0,1
LOC100040223,0,1
LOC100040786,0.39475009,1
LOC100040911,0,1
LOC100041223,0,1
LOC100041256,0,1
LOC100041550,-0.306023035,1
LOC100042049,0.422215859,0.418886
LOC100042428,0,1
LOC100043315,0,1
LOC100045653,-0.600752283,1
LOC100048884,0,1
LOC100048885,0,1
LOC100134990,0.080321073,0.943096
LOC100233207,-0.628684955,1
LOC100270707,-0.733343116,1
LOC100271928,0,1
LOC100272221,-0.557072781,1
LOC100302567,0.233811005,0.946875
LOC100302626,0.074164476,1
LOC100302688,0.741212871,1
LOC100303645,0.073355169,1
LOC100316870,0.032659574,1
LOC100415784,0,1
LOC100499420,-0.587573839,1
LOC100502936,0.13447471,1
LOC100503704,0.083910431,0.957406
LOC100504473,0.438178888,1
LOC100504710,-1.949860836,0.00965017
LOC106740,-0.484960972,0.706093
LOC380994,0,1
LOC382133,0,1
LOC434960,0,1
LOC545732,0,1
LOC545947,0,1
LOC622554,0.612878817,1
LOC664987,-0.927430479,0.380634
LOC665622,0.638854039,1
LOC668917,0.564028854,1
LPCAT4,0,1
Lace1,-0.343676579,0.39845
Lactb,0.356770961,0.36794
Lactb2,0.137974184,0.714298
Lactbl1,0.271669491,1
Lad1,3.733436524,0.000670633
Lag3,0.852167851,0.254436
Lage3,-0.056251515,0.935572
Lair1,0.495590734,0.195867
Lalba,2.572658203,1
Lama1,2.128213576,0.000670633
Lama2,-1.303810421,0.000670633
Lama3,-0.422785595,0.144381
Lama4,-0.791943561,0.00225688
Lama5,0.277840992,0.275202
Lamb1,-0.260688002,0.322825
Lamb1-1,-2.333444707,1
Lamb2,-0.481113843,0.05119
Lamb3,0.223938553,0.562733
Lamc1,-0.364367449,0.13881
Lamc2,-0.120981542,0.686698
Lamc3,-1.234627047,0.000670633
Lamp1,0.197460595,0.448911
Lamp2,0.461932058,0.0601536
Lamp3,-0.124340858,0.672991
Lancl1,0.417181226,0.178619
Lancl2,-0.021487983,0.969822
Lancl3,-0.312875772,1
Lao1,0.231094429,1
Lap1B,-0.488733808,0.916982
Lap3,0.711944545,0.00488912
Laptm4a,0.019072204,0.964662
Laptm4b,-0.134461238,0.703008
Laptm5,0.254498178,0.413656
Large,-0.137513438,0.709999
Larp1,0.391098554,0.101321
Larp1b,0.628926842,0.0881912
Larp4,0.562275742,0.031116
Larp4b,0.399866863,0.101669
Larp6,-1.520657123,0.0358556
Larp7,0.045043854,0.936483
Lars,-0.009425855,0.981643
Lars2,0.188582427,0.577858
Las1l,0.003006697,0.994747
Lasp1,0.541311466,0.0163947
Lass1,-2.001317353,0.29503
Lass2,0.018828073,0.974413
Lass3,5.025077658,0.000670633
Lass4,-1.804399382,0.000670633
Lass5,-0.126715572,0.715557
Lass6,-0.083544012,0.841894
Lat,-0.851679551,0.140917
Lat2,0.298310777,0.515332
Lats1,0.26805873,0.308005
Lats2,-0.78632603,0.00447825
Lax1,-1.314275244,0.0477374
Layn,-0.263906204,0.554538
Lba,-0.241204111,1
Lbh,-0.617262857,0.0201868
Lbp,0.404780132,0.142525
Lbr,-0.175208584,0.584665
Lbx1,-0.425753615,1
Lbx2,-1.21857132,0.131538
Lca5,-0.748812495,0.119951
Lca5l,-0.330980335,0.663604
Lcat,-0.103888359,0.919739
Lce1a1,5.56270035,0.000670633
Lce1a2,4.645891838,0.000670633
Lce1b,4.141964057,0.000670633
Lce1c,4.180283147,0.000670633
Lce1d,4.483544944,0.000670633
Lce1e,4.583693573,0.000670633
Lce1f,3.997491137,0.000670633
Lce1g,3.37878349,0.000670633
Lce1h,4.598835624,0.000670633
Lce1i,3.101461828,1
Lce1l,3.892381311,0.000670633
Lce1m,0.544487365,1
Lce3a,7.863870327,0.000670633
Lce3b,6.783307501,0.338466
Lce3c,6.419329888,0.000670633
Lce3f,7.023466063,0.000670633
Lce6a,0.551654265,1
Lck,-1.158315858,0.0389238
Lclat1,-0.486987341,0.121134
Lcmt1,0.180541507,0.783351
Lcmt2,0.474296214,0.4076
Lcn10,0,1
Lcn11,-0.616510146,1
Lcn12,-0.688415827,1
Lcn13,0,1
Lcn14,0,1
Lcn2,0.798004321,0.0027341
Lcn3,0,1
Lcn4,-2.439867777,1
Lcn5,0,1
Lcn6,0,1
Lcn8,1.59983193,1
Lcn9,0,1
Lcor,0.818640386,0.492044
Lcorl,0.621489931,0.347976
Lcp1,0.244032724,0.338854
Lcp2,0.225802256,0.563538
Lct,0.071848872,1
Lctl,-2.011882023,1
Ldb1,-0.281468987,0.362389
Ldb2,-1.240199289,0.000670633
Ldb3,-3.441441864,0.000670633
Ldha,0.613752844,0.0198989
Ldhal6b,0.101044905,1
Ldhb,-0.355103322,0.322256
Ldhc,1.534308825,1
Ldhd,2.322296453,0.0027341
Ldlr,0.1667891,0.551767
Ldlrad1,-0.962573003,0.124475
Ldlrad2,0.043310114,1
Ldlrad3,-0.166294501,0.656611
Ldlrap1,-0.095318848,0.805492
Ldoc1,-0.63442599,1
Ldoc1l,-1.223759473,0.0558955
Leap2,-1.770833649,1
Lect1,-0.505163957,1
Lect2,0,1
Lef1,-2.12691052,0.0126372
Lefty1,-0.452537328,0.434772
Lefty2,-0.340298037,1
Lekr1,-0.180283695,0.804381
Lelp1,1.912554065,1
Lemd1,6.019504355,0.000670633
Lemd2,0.209240179,0.507657
Lemd3,0.065230342,0.882267
Lenep,0.417314493,0.785919
Leng1,0.199827146,0.83532
Leng8,-0.127414926,0.672026
Leng9,-0.015582231,0.982786
Leo1,1.141372731,0.000670633
Lep,-1.488427601,1
Lepr,-1.008263677,0.000670633
Lepre1,-0.372209565,0.341367
Leprel1,0.4635789,0.24009
Leprel2,-0.838477031,0.018213
Leprel4,0.296097919,0.409824
Leprot,-0.066373418,0.86423
Leprotl1,-0.050948727,0.9066
Letm1,0.28335569,0.323736
Letm2,-1.32046825,0.0593559
