naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
LOC152742	0	0	0	0	1	0	0	1	1981
LOC153469	3	2	2	2	338	544	456	430	1916
LOC153684	0	0	2	0	3	4	0	10	2258
LOC153910	1	0	0	0	2	2	2	2	4577
LOC154092	16	22	42	27	29	40	24	26	6372
LOC154449	0	0	0	0	0	0	0	0	1327
LOC154761	1	1	1	2	3	1	2	5	2524
LOC154822	8	14	21	21	6	8	1	4	4008
LOC154860	0	0	1	1	10	13	18	19	2646
LOC154872	0	0	0	0	0	0	1	0	665
LOC155060	14	21	46	28	38	55	41	43	3143
LOC157273	33	31	77	62	91	126	98	146	3439
LOC157381	35	31	79	52	32	37	19	39	3575
LOC157627	1	14	16	7	629	915	443	1073	2919
LOC158257	33	42	109	75	71	50	67	84	2632
LOC158376	0	0	0	0	1	6	2	1	1544
LOC158434	0	0	0	0	2	0	1	0	2659
LOC158435	15	16	24	14	18	26	10	32	2413
LOC158572	0	1	1	9	5	0	2	1	2288
LOC158696	17	21	52	29	48	69	24	66	2907
LOC170425	17	30	97	76	52	89	32	71	2679
LOC1720	0	0	0	0	0	0	2	2	966
LOC200261	0	0	0	0	0	0	0	0	1907
LOC200726	0	0	0	0	1	1	0	0	1373
LOC200772	0	0	0	0	0	0	0	0	2263
LOC201477	0	0	0	0	16	24	7	20	1255
LOC201617	0	0	0	0	1	0	0	0	2697
LOC201651	1	1	7	1	0	0	0	0	1286
LOC202181	118	144	395	370	214	255	273	274	2851
LOC202781	44	81	74	72	118	119	106	95	2270
LOC219347	304	365	375	469	95	157	87	134	19346
LOC219731	89	123	148	149	12	13	15	25	3150
LOC220729	284	386	608	470	284	367	227	287	1519
LOC220906	636	745	1493	2146	732	754	686	816	5373
LOC221122	5	2	4	3	4	2	2	4	1234
LOC221442	30	40	52	30	69	58	37	69	4546
LOC253039	57	58	166	108	102	111	167	212	3794
LOC253044	1	1	4	1	0	1	0	0	1716
LOC253573	0	0	0	0	3	0	0	0	2287
LOC253962	0	0	0	0	0	0	0	1	1431
LOC254099	0	0	0	0	0	1	0	1	1615
LOC254100	6	9	21	24	4	3	1	6	1193
LOC254128	25	47	46	52	64	51	50	76	4898
LOC254312	0	0	0	0	1	0	0	5	3070
LOC254559	4	8	15	10	3	1	1	5	4191
LOC254896	1	4	0	3	2	6	4	6	1237
LOC255025	0	0	0	0	0	0	0	0	1030
LOC255130	8	8	1	3	0	0	0	0	1384
LOC255167	9	6	24	13	16	16	15	26	6025
LOC255411	1	0	1	0	1	1	0	1	1221
LOC255480	5	0	3	2	0	0	0	0	3635
LOC255512	6	0	6	4	5	3	3	6	999
LOC255654	1	1	0	2	0	1	1	2	961
LOC256021	0	1	0	0	2	2	3	3	10955
LOC256880	13	33	59	30	34	38	18	35	1984
LOC257358	0	0	0	0	0	2	2	1	2201
LOC257396	28	26	67	46	75	97	102	92	2348
LOC282980	30	23	101	61	28	63	20	33	2094
LOC282997	13	19	77	38	84	106	68	120	2014
LOC283033	0	0	0	0	0	0	0	0	973
LOC283038	0	0	1	1	2	0	1	0	3144
LOC283050	2	3	2	1	2	1	2	1	6785
LOC283070	113	116	62	123	66	83	141	100	2412
LOC283089	110	140	233	151	95	109	71	139	2497
LOC283104	139	130	136	130	70	79	75	77	2705
LOC283116	32	27	13	27	0	0	0	0	1353
LOC283143	1	1	4	3	2	1	2	2	2240
LOC283174	58	174	159	154	139	167	214	252	5305
LOC283177	11	13	18	8	16	28	7	38	2731
LOC283194	0	0	0	1	9	10	11	16	2597
LOC283214	0	1	0	0	0	0	0	0	1500
LOC283299	42	70	95	76	161	233	127	206	2495
LOC283332	0	0	0	0	0	0	0	0	2337
LOC283335	35	40	84	50	39	50	39	66	2859
LOC283392	10	6	6	15	27	40	37	21	7110
LOC283403	0	0	0	0	0	0	0	0	1288
LOC283404	0	0	0	0	2	1	0	0	1048
LOC283440	0	0	0	0	0	0	0	0	566
LOC283481	2	14	3	2	20	24	38	44	1127
LOC283547	6	3	3	6	5	7	4	4	4301
LOC283553	2	0	2	0	6	2	5	7	669
LOC283585	9	6	10	8	6	6	0	9	1758
LOC283587	0	1	3	3	2	1	1	0	827
LOC283624	343	431	841	637	495	488	447	564	7567
LOC283663	53	66	237	150	81	117	53	123	2513
LOC283683	102	148	198	203	73	87	79	87	1440
LOC283688	24	30	62	52	21	35	18	30	2912
LOC283692	2	0	3	2	1	5	0	5	2134
LOC283693	59	76	196	133	99	126	64	131	1649
LOC283710	0	0	2	0	1	2	1	3	1028
LOC283731	58	80	181	99	53	98	66	102	2564
LOC283738	0	0	0	0	0	0	0	0	2659
LOC283761	0	0	0	0	1	0	0	0	6346
LOC283788	121	111	198	166	16	11	22	27	3655
LOC283856	5	4	6	6	12	13	19	12	2673
LOC283867	13	15	35	18	4	20	0	7	1751
LOC283888	21	30	59	37	19	29	26	25	2611
LOC283914	2	4	1	4	1	2	0	2	4156
LOC283922	197	278	312	295	240	261	240	318	2302
LOC284009	9	5	15	8	4	10	6	3	573
LOC284023	210	236	593	404	193	256	143	277	2523
LOC284080	0	0	0	0	2	0	3	0	2530
LOC284100	2	1	3	6	2	0	1	5	2448
LOC284215	0	1	1	3	52	154	40	119	3217
LOC284260	25	24	109	81	42	50	36	59	1804
LOC284276	24	59	124	88	72	95	58	75	2240
LOC284294	0	0	0	0	0	0	0	0	1703
LOC284344	2	8	6	10	4	3	4	6	1712
LOC284379	57	72	180	125	84	137	55	125	1221
LOC284385	10	14	7	13	43	46	56	42	1830
LOC284395	4	3	3	5	2	2	6	2	2572
LOC284408	37	35	40	50	26	39	32	43	1904
LOC284412	456	2135	4556	2023	32	51	41	122	2342
LOC284440	83	110	317	219	105	198	79	182	2368
LOC284454	74	128	273	188	147	137	71	171	1773
LOC284551	74	93	161	114	139	210	118	207	2738
LOC284576	61	93	181	126	73	103	52	110	2777
LOC284578	5	7	8	3	11	22	14	26	2362
LOC284581	161	261	505	350	123	159	116	180	2591
LOC284632	1	2	3	1	4	5	3	0	1843
LOC284648	0	0	1	0	1	3	1	1	1489
LOC284661	570	551	240	227	77	102	62	117	2068
LOC284688	0	2	0	1	3	1	2	1	1721
LOC284751	6	7	9	9	8	12	6	7	2273
LOC284757	11	22	33	27	9	14	6	8	2038
LOC284788	0	0	0	0	0	0	0	0	3259
LOC284798	0	0	0	0	1	0	0	2	8158
LOC284801	0	1	1	0	0	0	1	1	1208
LOC284837	10	12	27	19	21	13	10	26	4596
LOC284865	48	63	187	115	72	116	44	115	2223
LOC284889	19	31	25	45	4	11	6	9	2189
LOC284933	0	0	0	0	1	10	4	5	1403
LOC284950	81	115	315	208	127	139	121	196	3105
LOC284998	0	0	0	0	0	0	0	0	2433
LOC285000	0	0	0	0	0	0	0	0	1412
LOC285033	27	40	50	27	13	21	10	29	3014
LOC285074	487	516	703	815	479	505	490	632	2190
LOC285084	2	7	13	4	2	0	0	2	3119
LOC285103	39	67	153	101	57	90	48	94	1829
LOC285205	1	0	0	0	1	0	0	0	1303
LOC285326	10	19	5	3	5	5	3	5	922
LOC285359	676	925	718	402	96	144	66	113	982
LOC285370	0	0	0	0	0	0	0	0	2866
LOC285375	9	8	21	17	29	45	24	36	988
LOC285401	1	3	0	1	88	164	88	132	1828
LOC285419	37	39	29	24	3	5	0	1	2760
LOC285441	1	2	2	1	4	8	5	6	3007
LOC285456	19	13	41	19	19	26	17	26	3769
LOC285484	11	4	6	15	12	12	4	12	1481
LOC285501	1	1	2	0	1	7	3	2	1028
LOC285540	21	11	27	30	21	29	26	32	1118
LOC285547	1	8	5	7	0	0	0	0	2118
LOC285548	1	1	1	7	0	1	0	0	1748
LOC285577	1	0	1	0	0	0	0	0	3194
LOC285593	1	2	0	1	1	3	1	0	3187
LOC285626	0	0	4	0	2	0	0	0	1575
LOC285627	1	0	0	0	4	6	2	4	2005
LOC285629	0	0	0	0	0	0	0	1	2319
LOC285692	0	0	0	0	1	3	3	2	1832
LOC285696	22	35	56	36	61	93	56	86	3313
LOC285740	0	0	2	2	6	13	4	20	3420
LOC285758	13	17	33	28	15	14	9	21	2747
LOC285762	2	0	0	2	1	5	2	3	3463
LOC285768	0	0	0	0	1	0	0	0	4564
LOC285796	0	0	0	0	0	0	0	0	2129
LOC285819	6	6	3	3	7	5	9	11	2900
LOC285847	5	2	11	5	5	15	7	10	1722
LOC285878	1	0	0	0	1	0	2	2	3027
LOC285889	0	1	0	0	2	2	1	0	2695
LOC285954	35	31	102	64	40	69	30	65	4846
LOC285965	67	75	177	96	237	223	156	188	5011
LOC285972	41	55	119	79	56	76	27	82	2039
LOC286002	0	0	0	0	0	1	0	0	3886
LOC286059	1	2	0	3	6	1	4	4	2633
LOC286083	0	0	0	0	6	13	2	12	3007
LOC286094	0	0	0	0	0	0	0	0	1234
LOC286114	0	0	0	0	0	0	0	0	1639
LOC286135	0	0	0	0	1	0	0	0	2837
LOC286177	19	30	50	36	16	38	14	28	2966
LOC286184	12	31	67	45	19	47	30	34	3705
LOC286186	53	81	188	174	89	114	51	124	2515
LOC286189	10	6	12	17	37	43	58	32	1597
LOC286190	35	39	77	48	45	52	44	63	3711
LOC286238	0	0	0	0	0	0	0	1	680
LOC286297	5	6	15	8	7	16	3	11	5176
LOC286359	17	18	21	14	22	47	24	42	2011
LOC286367	69	105	141	117	19	31	30	24	3412
LOC286370	0	1	2	1	1	3	0	1	2716
LOC286437	126	122	270	225	390	552	286	428	2317
LOC286442	0	0	0	0	0	0	0	0	1769
LOC286467	86	103	299	207	997	1130	579	689	2915
LOC338579	1	0	0	0	0	0	1	0	1306
LOC338588	0	0	0	0	0	0	0	0	1008
LOC338651	6	0	2	4	2	3	7	4	2263
LOC338739	60	108	221	180	121	156	78	152	2056
LOC338758	1	6	9	7	16	13	13	7	2997
LOC338799	70	118	191	144	87	106	90	115	1514
LOC338817	71	50	172	131	104	141	85	148	3663
LOC338963	0	0	0	0	0	1	1	0	1358
LOC339166	49	66	138	102	38	53	40	77	1817
LOC339240	5	3	26	9	3	0	1	0	3152
LOC339290	60	80	94	68	123	121	152	140	3974
LOC339298	0	3	0	1	0	0	0	1	2788
LOC339442	0	0	0	0	0	2	0	1	2279
LOC339505	8	5	8	3	13	19	7	10	3771
LOC339524	12	14	11	13	22	16	37	20	14052
LOC339529	2	2	5	3	1	0	0	0	1787
LOC339535	1	0	0	1	3	5	6	5	1529
LOC339568	0	0	0	0	0	1	0	1	1510
LOC339593	0	0	1	0	1	4	5	2	2272
LOC339622	0	1	4	4	2	5	0	8	2712
LOC339666	6	3	10	4	4	8	6	5	1554
LOC339685	0	1	4	0	3	3	2	1	4358
LOC339788	0	0	0	0	1	2	2	2	2162
LOC339803	95	124	158	194	108	137	107	113	2555
LOC339807	0	0	2	1	0	0	0	2	1767
LOC339822	0	0	1	0	1	0	0	0	1517
LOC339862	9	25	18	13	26	65	10	19	2204
LOC339874	1	2	15	10	19	35	38	43	1974
LOC339894	1	1	0	0	3	2	0	3	2012
LOC339926	7	9	28	28	13	27	8	27	1409
LOC339975	3	5	21	18	4	4	7	16	2427
LOC340017	0	0	0	0	0	0	0	0	1389
LOC340037	57	68	254	148	93	99	74	134	2994
LOC340073	0	0	0	0	0	0	0	0	2156
LOC340074	0	0	0	0	0	0	0	0	2039
LOC340094	0	0	0	0	0	1	1	0	1742
LOC340107	0	0	0	0	1	0	0	0	2287
LOC340113	1	0	0	0	0	0	0	0	2002
LOC340357	0	0	0	0	0	0	0	0	768
LOC340508	0	1	0	0	0	3	1	1	2259
LOC340515	4	9	18	9	21	24	26	23	2014
LOC340544	38	54	85	64	122	140	77	62	2867
LOC341056	92	91	75	90	29	34	30	39	2045
LOC344595	28	24	38	33	40	36	24	44	4404
LOC344887	3	6	11	14	0	0	0	0	2160
LOC344967	20	23	60	32	27	26	19	38	1610
LOC347411	4	0	0	2	0	0	0	0	570
LOC348120	0	0	1	0	0	0	0	0	3397
LOC348761	1	2	4	2	0	0	2	2	3503
LOC349160	1	2	3	0	3	7	5	7	1534
LOC349196	50	86	372	233	149	175	74	227	8619
LOC374443	51	81	62	56	56	38	35	56	2608
LOC375010	613	558	369	662	17	22	46	41	1739
LOC375190	0	1	1	0	17	8	22	26	1346
LOC375196	0	2	0	2	0	2	1	1	1056
LOC375295	0	0	1	2	0	2	1	1	1055
LOC386597	29	52	150	103	58	92	33	69	2343
LOC386758	173	179	262	235	41	51	36	52	4646
LOC387646	62	99	111	113	77	91	79	117	6453
LOC387647	161	131	121	171	35	40	69	92	2020
LOC387723	41	44	102	63	46	48	38	63	2663
LOC387895	0	0	0	0	0	0	0	0	616
LOC388152	66	98	92	90	68	84	58	97	3349
LOC388242	0	0	0	0	0	0	0	0	2946
LOC388276	0	0	0	0	0	0	0	0	442
LOC388387	25	42	111	49	49	57	40	81	1838
LOC388499	15	26	16	17	2	2	1	4	1600
LOC388553	3	1	0	0	0	0	1	0	1161
LOC388588	0	0	0	2	0	0	0	2	542
LOC388630	30	43	39	49	95	64	24	47	7022
LOC388692	66	102	194	136	226	335	267	398	12266
LOC388796	561	615	752	616	133	138	82	214	2216
LOC388813	0	0	0	0	7	5	5	10	885
LOC388849	0	1	1	0	0	0	0	0	627
LOC388906	1	5	8	2	1	4	1	2	1240
LOC388942	0	0	0	0	0	1	0	0	1807
LOC388946	2	2	2	2	0	1	0	0	677
LOC388948	0	0	0	0	3	1	1	1	1039
LOC389023	6	4	3	3	24	19	12	16	727
LOC389033	0	1	0	0	0	0	0	0	398
LOC389043	0	0	0	0	0	1	0	1	3052
LOC389247	1	2	3	3	15	17	8	20	778
LOC389332	0	0	1	3	0	0	0	0	1695
LOC389458	0	1	0	0	0	0	0	0	576
LOC389493	1	2	1	1	0	1	0	0	598
LOC389634	15	14	17	15	7	12	13	14	659
LOC389641	72	93	241	142	90	123	67	123	1967
LOC389705	21	15	4	6	7	9	8	9	918
LOC389765	95	88	115	135	71	56	71	78	1755
LOC389791	57	99	183	109	100	140	52	112	2105
LOC389831	680	642	419	582	1856	1756	2164	2723	2409
LOC389834	321	371	510	445	35	51	28	38	8204
LOC389906	192	206	396	413	234	290	112	130	1786
LOC390660	1	2	5	1	2	1	2	4	10016
LOC390705	1	1	1	1	0	0	0	1	868
LOC390858	1	0	3	2	0	0	0	0	526
LOC390940	46	28	27	28	27	25	8	31	1480
LOC391322	19	14	36	29	4	3	0	5	561
LOC392196	12	9	22	13	2	1	1	10	1437
LOC392232	0	0	0	1	10	4	1	2	2657
LOC392364	0	1	0	1	1	0	0	1	1013
LOC399708	4	0	2	2	0	0	0	0	5502
LOC399715	19	22	54	32	92	115	66	96	3072
LOC399744	269	371	1088	869	402	420	340	468	5245
LOC399753	51	63	107	80	99	116	50	78	2131
LOC399815	24	12	13	16	19	24	18	13	2106
LOC399829	0	1	4	0	0	0	0	2	5394
LOC399939	0	0	0	0	0	0	0	0	2936
LOC399940	8	6	51	52	0	0	0	0	3226
LOC400027	39	67	31	45	135	137	115	146	2201
LOC400043	0	1	1	2	1	0	1	0	1393
LOC400084	9	14	22	12	21	20	6	20	2072
LOC400236	10	8	8	6	7	17	18	20	1075
LOC400238	0	0	0	0	0	1	0	0	705
LOC400456	0	0	0	0	0	0	0	0	1374
LOC400548	41	67	164	107	65	102	68	92	2002
LOC400550	20	29	93	46	33	38	24	52	5767
LOC400558	0	0	0	0	0	0	0	0	1323
LOC400604	0	1	0	1	6	2	0	4	1413
LOC400620	0	0	0	0	0	1	0	0	2467
LOC400643	3	11	5	9	4	11	3	3	1744
LOC400654	0	0	0	0	0	0	0	0	2404
LOC400655	293	270	422	376	109	149	138	148	2648
LOC400657	110	82	117	110	96	99	149	114	3472
LOC400680	82	167	187	169	264	301	198	218	3749
LOC400684	2	6	5	9	8	11	8	16	948
LOC400685	0	3	2	3	9	10	13	12	2074
LOC400752	1	0	9	4	6	2	4	3	1709
LOC400794	0	0	0	0	0	0	0	0	1745
LOC400891	72	96	208	156	62	129	72	139	5128
LOC400927	32	36	59	52	25	60	48	48	489
LOC400940	0	0	1	0	2	0	0	6	3460
LOC400958	68	70	198	132	79	96	67	138	3026
LOC401010	27	17	24	18	3	0	2	1	2733
LOC401052	83	105	252	155	93	126	55	129	1893
LOC401074	5	6	12	4	11	13	18	21	5208
LOC401093	3	5	8	6	6	2	18	11	13297
LOC401109	0	4	6	9	0	0	0	1	1825
LOC401127	15	14	12	15	1	1	1	3	1648
LOC401134	2	2	1	0	2	2	1	0	4072
LOC401164	2	0	1	2	0	0	4	4	478
LOC401177	0	0	0	0	0	0	0	0	2309
LOC401242	1	3	3	3	4	4	2	3	22259
LOC401320	67	106	89	76	117	119	111	136	3864
LOC401321	36	66	99	83	169	232	190	198	4638
LOC401324	7	12	23	5	25	41	19	28	3626
LOC401397	321	236	208	279	291	246	273	277	2160
LOC401431	2	1	2	4	2	4	0	4	3065
LOC401463	0	0	0	0	0	0	0	1	2699
LOC401497	0	0	0	0	0	0	0	0	1252
LOC401557	13	19	8	14	10	25	3	15	3726
LOC401588	73	96	124	101	56	53	38	64	1903
LOC401980	2	0	0	1	3	0	0	2	1868
LOC402160	0	0	0	0	0	2	1	0	2099
LOC402779	0	0	0	0	6	18	19	26	1356
LOC407835	11	12	6	11	7	6	1	9	1725
LOC415056	0	0	0	0	0	0	0	0	882
LOC439949	29	31	21	15	86	118	57	59	4437
LOC439950	7	4	0	2	57	94	20	62	2268
LOC439990	57	69	38	43	22	10	7	17	2159
LOC439994	11	9	13	9	2	1	4	1	1163
LOC440028	23	28	56	30	20	17	10	20	2308
LOC440040	5	9	4	9	1	0	0	0	2174
LOC440041	5	5	2	0	0	0	0	0	1002
LOC440117	0	0	0	0	0	0	0	0	1479
LOC440131	0	0	0	0	0	0	0	0	691
LOC440173	62	60	545	403	164	283	118	273	2014
LOC440288	90	111	203	128	114	122	85	132	2998
LOC440297	23	46	71	39	23	40	23	37	20384
LOC440300	230	291	585	436	354	529	334	578	7742
LOC440335	7	13	12	11	2	8	3	4	3075
LOC440354	776	920	1048	852	1097	1208	1086	1335	7691
LOC440356	2	2	1	5	0	3	3	3	1389
LOC440434	831	994	799	886	282	246	181	266	1640
LOC440461	0	1	0	0	0	1	1	0	1642
LOC440518	1	0	1	3	0	0	0	0	2023
LOC440563	20	19	8	7	4	2	2	2	1154
LOC440600	33	33	81	62	34	62	36	62	2605
LOC440700	0	1	5	3	2	7	4	7	1206
LOC440704	5	3	13	9	2	9	3	10	2211
LOC440894	15	18	21	22	46	55	23	42	11870
LOC440895	0	0	0	0	0	0	0	0	3246
LOC440896	21	26	52	33	21	29	12	34	3178
LOC440900	0	0	3	0	0	1	0	0	850
LOC440905	45	103	48	53	407	699	301	370	4512
LOC440910	4	11	9	7	45	68	11	25	1733
LOC440925	0	1	0	1	1	0	2	0	2128
LOC440944	114	170	198	154	144	124	151	157	1857
LOC440970	81	95	163	106	59	77	44	94	7288
LOC441009	1	0	0	1	0	3	1	1	1622
LOC441025	0	0	0	0	0	0	0	0	1139
LOC441177	0	0	0	0	1	0	0	0	2064
LOC441204	2	3	0	0	26	31	20	21	1626
LOC441242	2	2	6	2	2	4	5	4	1953
LOC441454	49	56	44	49	65	80	44	96	1380
LOC441455	31	30	29	28	10	15	12	12	1646
LOC441461	0	1	0	1	6	8	15	5	549
LOC441495	0	0	0	0	0	0	0	0	2602
LOC441601	88	70	110	92	29	13	25	19	1009
LOC441666	1007	781	1045	1056	1600	1884	1150	765	6658
LOC442028	3	7	5	1	0	0	1	0	3320
LOC442132	8	13	29	27	28	27	16	11	2059
LOC442421	25	41	67	75	68	68	33	46	3703
LOC442459	88	101	60	105	24	22	12	38	2164
LOC442497	0	2	2	1	26	18	21	14	2244
LOC493754	426	434	605	683	367	343	329	388	3288
LOC494127	3	1	3	1	1	0	0	0	1339
LOC494141	37	37	61	51	31	41	26	40	5667
LOC494558	3	0	3	1	2	1	0	4	951
LOC503519	0	0	0	0	0	0	0	0	1895
LOC541471	224	173	76	72	15	15	8	18	1332
LOC541473	5	11	24	22	12	15	6	10	975
LOC550112	69	70	79	83	93	87	79	113	2288
LOC550113	0	0	0	0	0	0	0	0	2784
LOC550643	110	124	102	125	211	232	242	223	691
LOC553103	28	31	89	52	30	54	26	66	1793
LOC554201	0	0	0	0	0	0	4	5	790
LOC554206	1	2	3	0	5	0	2	0	1036
LOC554223	0	0	0	0	0	1	0	0	10193
LOC572558	0	0	0	0	0	0	0	0	530
LOC574538	0	0	0	0	0	1	2	1	2894
LOC595101	2	2	3	2	0	2	0	1	4273
LOC606724	22	44	81	66	6	7	5	10	1140
LOC613037	998	924	2738	2532	1841	2194	1867	2444	3448
LOC613038	0	0	0	0	0	0	0	0	2946
LOC619207	6	9	18	11	0	3	0	2	4894
LOC63930	0	1	0	0	0	0	0	0	3361
LOC641298	1213	1435	1977	1696	2818	3008	2851	3436	4981
LOC641364	45	58	83	66	26	61	44	43	4647
LOC641365	7	0	3	0	0	4	0	0	2005
LOC641367	53	45	70	58	28	49	34	48	2693
LOC641515	0	1	0	0	0	0	1	3	1092
LOC641518	0	0	0	0	0	0	0	1	2722
LOC641746	57	46	62	56	26	24	25	12	1141
LOC642236	353	396	1185	928	758	727	899	653	1062
LOC642361	9	5	11	9	5	9	9	2	1700
LOC642366	3	1	8	10	3	4	6	10	6696
LOC642426	0	0	0	0	0	1	1	3	1270
LOC642826	3	4	29	24	15	13	11	11	1611
LOC642846	251	495	897	631	192	180	103	212	3477
LOC642852	79	103	97	122	123	110	108	128	7162
LOC642929	2	0	3	0	0	0	0	0	980
LOC643037	0	0	0	0	0	0	0	0	600
LOC643201	3	11	21	21	16	14	15	21	4266
LOC643339	3	5	8	2	3	3	0	3	573
LOC643387	1429	1561	909	1087	649	677	795	900	2658
LOC643401	238	315	571	462	593	774	504	750	1101
LOC643406	430	449	1231	933	1944	2646	1999	1901	3797
LOC643441	0	0	2	3	0	1	0	0	2168
LOC643486	7	9	7	5	1	0	0	0	816
LOC643529	2	0	2	2	0	1	0	0	4285
LOC643542	0	0	0	0	0	0	0	0	2986
LOC643623	70	89	169	98	110	142	70	191	2959
LOC643648	0	1	4	6	2	5	3	10	1560
LOC643650	2	1	6	8	21	11	4	5	2873
LOC643669	6	1	0	0	1	5	3	1	1052
LOC643714	0	0	0	0	2	2	2	0	997
LOC643723	0	0	0	0	1	0	1	3	1622
LOC643733	0	0	0	0	0	0	0	0	1225
LOC643770	14	19	58	45	35	50	29	39	1821
LOC643802	25	27	25	27	7	6	15	16	1342
LOC643837	262	298	256	323	195	140	143	184	1536
LOC643923	2	4	9	7	1	0	0	2	969
LOC643955	126	120	54	88	4	3	4	0	1763
LOC644100	1	0	0	1	0	0	0	0	639
LOC644145	0	0	0	0	0	1	2	0	385
LOC644172	4	5	3	2	4	2	0	1	4511
LOC644189	1	4	1	6	0	1	0	5	1723
LOC644242	1	2	2	1	27	27	15	35	1589
LOC644248	0	0	0	0	0	0	0	0	817
LOC644554	31	30	26	36	34	26	28	37	1053
LOC644649	17	14	15	16	16	8	14	5	1050
LOC644656	8	10	23	14	12	9	25	21	1142
LOC644669	15	17	40	23	17	25	10	25	2091
LOC644714	0	0	2	0	0	2	0	3	2297
LOC644838	0	0	0	0	0	2	9	4	2092
LOC644936	417	351	235	346	120	93	86	146	1380
LOC644961	78	92	163	130	102	114	54	113	2651
LOC644990	0	0	0	0	1	0	0	1	883
LOC645166	101	113	89	110	30	21	34	33	2343
LOC645206	0	1	7	0	17	21	35	30	1649
LOC645212	29	78	42	41	124	131	79	158	3232
LOC645249	2	1	0	0	0	0	0	0	985
LOC645355	0	0	0	0	0	0	0	0	1685
LOC645431	5	7	1	5	0	0	1	0	2024
LOC645434	0	2	2	0	2	0	1	0	1686
LOC645513	65	88	118	116	51	54	48	45	1039
LOC645591	5	6	7	3	0	2	0	1	2282
LOC645638	3	2	0	1	2	2	3	7	618
LOC645676	30	39	53	44	21	22	20	19	1963
LOC645752	1	1	2	2	10	2	8	14	3099
LOC645949	0	0	0	0	0	1	0	0	2124
LOC646168	0	0	0	0	0	0	0	0	2670
LOC646214	694	660	2807	2132	4069	5839	4875	3999	8225
LOC646268	0	0	0	0	0	0	0	0	832
LOC646278	433	465	317	417	236	188	444	282	2086
LOC646324	7	8	10	7	12	12	6	11	3680
LOC646329	3	5	23	4	31	37	15	37	2224
LOC646471	71	113	241	165	69	85	37	101	3652
LOC646498	0	0	1	0	1	0	0	0	698
LOC646508	3	5	4	8	0	0	0	0	1376
LOC646576	0	0	0	0	2	0	4	6	1130
LOC646626	0	3	0	0	2	1	1	3	886
LOC646627	0	0	0	0	0	0	0	0	434
LOC646719	96	88	197	149	135	166	165	197	5333
LOC646736	12	18	54	45	33	33	29	40	928
LOC646743	0	0	0	0	0	0	0	0	4452
LOC646762	81	85	134	124	131	130	81	140	5782
LOC646813	5	3	9	6	11	10	9	9	1276
LOC646851	137	187	505	367	328	423	288	445	10305
LOC646862	0	0	0	0	0	0	0	0	989
LOC646903	3	13	14	9	26	17	21	29	1963
LOC646938	2	1	2	1	0	2	1	2	479
LOC646999	11	15	28	25	11	16	10	17	2601
LOC647012	0	1	13	13	13	17	5	13	1850
LOC647107	2	0	1	1	15	16	6	11	1512
LOC647323	0	0	0	0	1	0	0	0	1612
LOC647589	3	7	3	3	0	0	0	1	1756
LOC647859	271	260	195	227	249	165	231	242	573
LOC647946	2	17	10	15	148	158	221	137	2143
LOC647979	1810	2315	1423	1916	1493	1334	1578	1734	5342
LOC648691	29	40	80	37	27	47	23	47	3102
LOC648740	3	2	1	7	5	6	3	2	1982
LOC648809	19	31	29	34	32	20	26	47	1157
LOC648987	88	67	181	129	54	66	37	82	4921
LOC649133	0	0	1	0	3	1	3	4	2120
LOC649330	0	0	0	0	0	0	0	0	1001
LOC649395	209	207	124	243	137	88	84	118	1824
LOC650226	182	442	717	431	1	1	1	0	1661
LOC650293	6	8	22	6	19	20	16	27	650
LOC650368	40	46	76	47	102	148	153	211	1466
LOC650623	90	85	144	104	163	218	119	204	5919
LOC652276	250	312	479	343	365	510	416	471	2710
LOC653061	3	6	19	13	57	54	57	77	5436
LOC653075	8	10	24	25	75	72	86	107	3454
LOC653160	0	1	11	3	17	19	18	4	1884
LOC653486	0	0	0	0	0	0	0	0	355
LOC653501	0	1	14	2	18	6	6	16	8046
LOC653513	115	131	80	91	6	11	9	9	867
LOC653566	1	1	199	258	119	121	125	135	1623
LOC653653	4	3	8	6	167	188	95	105	1159
LOC653712	25	29	71	61	28	20	14	15	1099
LOC653786	6	4	5	6	2	1	1	1	2652
LOC654342	99	55	66	72	4	4	11	13	601
LOC654433	203	256	191	189	5	2	0	0	2674
LOC678655	3	10	15	13	39	35	26	31	2358
LOC723809	58	53	46	47	1	1	1	4	1828
LOC727677	0	0	1	0	1	0	0	1	1407
LOC727710	0	1	0	0	0	0	0	1	1502
LOC727849	53	80	98	61	94	117	132	176	9869
LOC727896	183	174	316	355	141	154	123	174	3408
LOC727915	0	0	0	0	0	0	0	0	900
LOC727924	1	1	1	0	0	0	0	0	1589
LOC727982	1	4	3	6	5	2	1	4	2669
LOC728012	1	0	0	0	0	1	1	1	545
LOC728024	18	16	22	25	22	23	19	20	1490
LOC728040	0	0	0	0	2	0	0	0	759
LOC728066	0	0	0	0	0	0	0	0	2005
LOC728084	0	0	0	0	0	0	0	0	2506
LOC728175	0	1	1	3	4	4	4	4	1875
LOC728190	71	55	69	71	66	111	84	68	816
LOC728218	13	10	29	12	14	20	7	18	1192
LOC728228	0	1	1	0	0	1	1	1	679
LOC728323	33	27	43	44	16	17	14	27	1121
LOC728342	20	30	73	37	25	38	27	43	3085
